"condition","seed","published","A_asis_loop_rawseq","B_sweep_rawseq","C_sweep_logseq","D_correct_direction"
"balanced",101,0.0201113861386139,0.0248762376237624,0.0201113861386139,0.00327970297029703,0.175618811881188
"balanced",102,0.00216584158415842,0.00315594059405941,0.00216584158415842,0.00111386138613861,0.0504950495049505
"balanced",103,0.00129950495049505,0.00167079207920792,0.00129950495049505,0.00198019801980198,0.125866336633663
"same_imbalance",101,0.00668316831683168,0.00705445544554455,0.00668316831683168,0.00334158415841584,0.171410891089109
"same_imbalance",102,0.00117574257425743,0.00204207920792079,0.00117574257425743,0.000618811881188119,0.0418316831683168
"same_imbalance",103,0.00117574257425743,0.00148514851485149,0.00117574257425743,0.000866336633663366,0.0747524752475247
"opp_imbalance",101,0.407982673267327,0.349195544554455,0.407982673267327,0.45259900990099,0.171410891089109
"opp_imbalance",102,0.19480198019802,0.172339108910891,0.19480198019802,0.223019801980198,0.0418316831683168
"opp_imbalance",103,0.189975247524752,0.19115099009901,0.189975247524752,0.164542079207921,0.0747524752475247
"half_imbalance",101,0.0121287128712871,0.0126856435643564,0.0121287128712871,0.0152846534653465,0.175618811881188
"half_imbalance",102,0.00525990099009901,0.00668316831683168,0.00525990099009901,0.0041460396039604,0.0504950495049505
"half_imbalance",103,0.00736386138613861,0.00785891089108911,0.00736386138613861,0.00662128712871287,0.125866336633663
