"condition","seed","published","B_published","C_scalefix","D2_direction","n_degenerate","nan_coefs"
"balanced",101,0.0201113861386139,0.0201113861386139,0.00327970297029703,0,3176,0
"balanced",102,0.00216584158415842,0.00216584158415842,0.00111386138613861,0,3222,0
"balanced",103,0.00129950495049505,0.00129950495049505,0.00198019801980198,6.18811881188119e-05,3187,0
"balanced",104,0.00123762376237624,0.00123762376237624,0.000866336633663366,0,3207,0
"balanced",105,0.00594059405940594,0.00594059405940594,0.00185643564356436,6.18811881188119e-05,3145,0
"same_imbalance",101,0.00668316831683168,0.00668316831683168,0.00334158415841584,0.000123762376237624,3176,0
"same_imbalance",102,0.00117574257425743,0.00117574257425743,0.000618811881188119,0,3222,0
"same_imbalance",103,0.00117574257425743,0.00117574257425743,0.000866336633663366,0,3187,0
"same_imbalance",104,0.000556930693069307,0.000556930693069307,0.000309405940594059,6.18811881188119e-05,3207,0
"same_imbalance",105,0.00303217821782178,0.00303217821782178,0.00191831683168317,0,3145,0
"opp_imbalance",101,0.407982673267327,0.407982673267327,0.45259900990099,0.284529702970297,3176,0
"opp_imbalance",102,0.19480198019802,0.19480198019802,0.223019801980198,0.203527227722772,3222,0
"opp_imbalance",103,0.189975247524752,0.189975247524752,0.164542079207921,0.246658415841584,3187,0
"opp_imbalance",104,0.182425742574257,0.182425742574257,0.14424504950495,0.26144801980198,3207,0
"opp_imbalance",105,0.274071782178218,0.274071782178218,0.389913366336634,0.170482673267327,3145,0
"half_imbalance",101,0.0121287128712871,0.0121287128712871,0.0152846534653465,0.00785891089108911,3176,0
"half_imbalance",102,0.00525990099009901,0.00525990099009901,0.0041460396039604,0.00111386138613861,3222,0
"half_imbalance",103,0.00736386138613861,0.00736386138613861,0.00662128712871287,0.00767326732673267,3187,0
"half_imbalance",104,0.00371287128712871,0.00371287128712871,0.00915841584158416,0.00123762376237624,3207,0
"half_imbalance",105,0.00928217821782178,0.00928217821782178,0.0118193069306931,0.00649752475247525,3145,0
