"m","seed","published","B_power","C_power","E_power","E2_power","E_typeI","lambdahat","b1_med","b1_sd","Yhat_sd","array_sd"
5,101,0.005,0.075,0.005,0.3145,0.0045,0.0425141242937853,5.7763750032231,0.768221658515879,0.122073440061347,0.0736446571339719,0.199700032650857
5,102,0.005,0.0885,0.005,0.31,0,0.023728813559322,7.050423823251,0.627299829870589,0.124317680161566,0.0689749788208995,0.235408948228989
5,103,0.0035,0.045,0.0035,0.199,5e-04,0.00141242937853107,4.31200732687354,0.674227025970868,0.131037161018689,0.0750786644056121,0.237011286398752
10,101,0.107,0.214,0.107,0.4875,0.0875,0.143361581920904,6.80334251999326,0.422164249333938,0.100641391233587,0.043009469520186,0.214379401108413
10,102,0.081,0.164,0.081,0.4535,0.0605,0.0257768361581921,8.71259677789203,0.377023623550968,0.0872584473006351,0.0410857380230232,0.234214339371303
10,103,0.07,0.151,0.07,0.415,0.052,0.0147598870056497,6.76955325985792,0.482034418870003,0.0982615689875754,0.0536482703190162,0.238073385429754
30,101,0.3985,0.457,0.3985,0.6575,0.363,0.0117231638418079,8.42305362401746,0.221601949567598,0.0614021477403018,0.0233730962878179,0.224857603943306
30,102,0.4185,0.46,0.4185,0.664,0.3815,0.0236581920903955,8.48792947406312,0.16732159606701,0.0545985942721602,0.0179769920898355,0.225063531451059
30,103,0.3855,0.435,0.3855,0.646,0.3415,0.00875706214689266,8.95166121041732,0.156709234797972,0.0539642190883662,0.0180293025011929,0.239342264418211
50,101,0.639,0.6635,0.639,0.73,0.6055,0.0552966101694915,8.39368851624569,0.176652653991742,0.0526220725401495,0.0185187989027855,0.23040704383691
50,102,0.608,0.6385,0.608,0.7295,0.575,0.0438559322033898,8.75405054459669,0.135749966852729,0.0535531528414693,0.0142670724981572,0.225358392756846
50,103,0.646,0.6755,0.646,0.766,0.611,0.0212570621468927,9.59558839626596,0.176128430520511,0.0615133079703065,0.0180468190531854,0.238283494354937
