"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",135,"MMR",0.0214727722772277,NA,13.1
"typeI_balance","balanced",135,"MNN",0.0129950495049505,NA,13.4
"typeI_balance","balanced",135,"ComBat_seq",0.00872524752475248,NA,21.5
"typeI_balance","balanced",135,"ComBat",0.0154084158415842,NA,19.5
"typeI_balance","balanced",135,"limma",0.0183787128712871,NA,16.3
"typeI_balance","balanced",135,"RNABC",0.0186262376237624,NA,14.9
"typeI_balance","same_imbalance",135,"MMR",0.0285891089108911,NA,14.5
"typeI_balance","same_imbalance",135,"MNN",0.0246287128712871,NA,15.9
"typeI_balance","same_imbalance",135,"ComBat_seq",0.0171410891089109,NA,22.8
"typeI_balance","same_imbalance",135,"ComBat",0.0336633663366337,NA,16.9
"typeI_balance","same_imbalance",135,"limma",0.0369430693069307,NA,17.8
"typeI_balance","same_imbalance",135,"RNABC",0.0399752475247525,NA,16.9
"typeI_balance","opp_imbalance",135,"MMR",0.0385519801980198,NA,16.5
"typeI_balance","opp_imbalance",135,"MNN",0.027970297029703,NA,16.3
"typeI_balance","opp_imbalance",135,"ComBat_seq",0.0762376237623762,NA,21.7
"typeI_balance","opp_imbalance",135,"ComBat",0.0690594059405941,NA,17.1
"typeI_balance","opp_imbalance",135,"limma",0.0293316831683168,NA,17.1
"typeI_balance","opp_imbalance",135,"RNABC",0.027289603960396,NA,16.7
"typeI_balance","half_imbalance",135,"MMR",0.0155321782178218,NA,16
"typeI_balance","half_imbalance",135,"MNN",0.0158415841584158,NA,15.8
"typeI_balance","half_imbalance",135,"ComBat_seq",0.00680693069306931,NA,22.1
"typeI_balance","half_imbalance",135,"ComBat",0.010519801980198,NA,16
"typeI_balance","half_imbalance",135,"limma",0.0155321782178218,NA,17.2
"typeI_balance","half_imbalance",135,"RNABC",0.011200495049505,NA,17.1
"power_size","5",135,"MMR",0.0115819209039548,0.33,12
"power_size","5",135,"MNN",0.139689265536723,0.196,8.1
"power_size","5",135,"ComBat_seq",0.025635593220339,0.2955,17.7
"power_size","5",135,"ComBat",0.0240112994350282,0.374,12.9
"power_size","5",135,"limma",0.0406779661016949,0.4125,12.3
"power_size","5",135,"RNABC",0.0284604519774011,0.402,9
"power_size","10",135,"MMR",0.0143361581920904,0.4355,15.9
"power_size","10",135,"MNN",0.0202683615819209,0.1625,15.2
"power_size","10",135,"ComBat_seq",0.00826271186440678,0.398,21.9
"power_size","10",135,"ComBat",0.017090395480226,0.5235,16.3
"power_size","10",135,"limma",0.020409604519774,0.57,16.5
"power_size","10",135,"RNABC",0.0182909604519774,0.553,16.7
"power_size","30",135,"MMR",0.0343220338983051,0.6685,26.5
"power_size","30",135,"MNN",0.0708333333333333,0.705,27.1
"power_size","30",135,"ComBat_seq",0.044138418079096,0.693,42.5
"power_size","30",135,"ComBat",0.0910310734463277,0.7975,25.3
"power_size","30",135,"limma",0.0997175141242938,0.8675,25.5
"power_size","30",135,"RNABC",0.110805084745763,0.8345,25.9
"power_size","50",135,"MMR",0.0216101694915254,0.7625,36.8
"power_size","50",135,"MNN",0.0851694915254237,0.8555,39.2
"power_size","50",135,"ComBat_seq",0.0228813559322034,0.7885,66.4
"power_size","50",135,"ComBat",0.0507768361581921,0.897,36.3
"power_size","50",135,"limma",0.0634180790960452,0.939,36.5
"power_size","50",135,"RNABC",0.0521892655367232,0.9365,37.7
"power_balance","balanced",135,"MMR",0.0213983050847458,0.722,36.2
"power_balance","balanced",135,"MNN",0.0555790960451977,0.864,39.7
"power_balance","balanced",135,"ComBat_seq",0.0227401129943503,0.762,64.7
"power_balance","balanced",135,"ComBat",0.0492231638418079,0.8865,36.3
"power_balance","balanced",135,"limma",0.061228813559322,0.9275,35.9
"power_balance","balanced",135,"RNABC",0.0475988700564972,0.926,37.2
"power_balance","same_imbalance",135,"MMR",0.0387005649717514,0.6955,39
"power_balance","same_imbalance",135,"MNN",0.104731638418079,0.802,42.1
"power_balance","same_imbalance",135,"ComBat_seq",0.0461864406779661,0.735,65.5
"power_balance","same_imbalance",135,"ComBat",0.0915254237288136,0.859,36
"power_balance","same_imbalance",135,"limma",0.104590395480226,0.9055,35.3
"power_balance","same_imbalance",135,"RNABC",0.0849576271186441,0.9125,34.4
"power_balance","opp_imbalance",135,"MMR",0.125,0.6265,36.2
"power_balance","opp_imbalance",135,"MNN",0.444844632768362,0.7905,36.4
"power_balance","opp_imbalance",135,"ComBat_seq",0.401483050847458,0.713,64.3
"power_balance","opp_imbalance",135,"ComBat",0.253813559322034,0.831,35.4
"power_balance","opp_imbalance",135,"limma",0.0870762711864407,0.8895,35.9
"power_balance","opp_imbalance",135,"RNABC",0.0577683615819209,0.8995,35.8
"power_balance","half_imbalance",135,"MMR",0.0462570621468927,0.689,33
"power_balance","half_imbalance",135,"MNN",0.0795197740112994,0.7895,35.3
"power_balance","half_imbalance",135,"ComBat_seq",0.156214689265537,0.8635,63.3
"power_balance","half_imbalance",135,"ComBat",0.114053672316384,0.9295,33
"power_balance","half_imbalance",135,"limma",0.0723870056497175,0.9215,33.7
"power_balance","half_imbalance",135,"RNABC",0.0531779661016949,0.929,32.5
"power_effect","0.3",135,"MMR",0.0219632768361582,0.2835,31.1
"power_effect","0.3",135,"MNN",0.0313559322033898,0.3025,35
"power_effect","0.3",135,"ComBat_seq",0.0223870056497175,0.277,62
"power_effect","0.3",135,"ComBat",0.0425847457627119,0.4235,32.6
"power_effect","0.3",135,"limma",0.0555790960451977,0.4335,31.5
"power_effect","0.3",135,"RNABC",0.0492937853107345,0.4475,33.2
"power_effect","0.5",135,"MMR",0.0220338983050847,0.4605,31
"power_effect","0.5",135,"MNN",0.0336158192090395,0.542,35.7
"power_effect","0.5",135,"ComBat_seq",0.0225282485875706,0.4835,59.3
"power_effect","0.5",135,"ComBat",0.0446327683615819,0.651,32.8
"power_effect","0.5",135,"limma",0.0569209039548023,0.6835,31.4
"power_effect","0.5",135,"RNABC",0.0455508474576271,0.693,32.9
"power_effect","0.7",135,"MMR",0.0218220338983051,0.6185,31.7
"power_effect","0.7",135,"MNN",0.0395480225988701,0.73,34.5
"power_effect","0.7",135,"ComBat_seq",0.0226694915254237,0.6465,59.4
"power_effect","0.7",135,"ComBat",0.0472457627118644,0.783,34
"power_effect","0.7",135,"limma",0.0581214689265537,0.8335,31
"power_effect","0.7",135,"RNABC",0.0463983050847458,0.8395,32.1
"power_effect","1",135,"MMR",0.0216101694915254,0.7625,29.7
"power_effect","1",135,"MNN",0.0851694915254237,0.8555,33.7
"power_effect","1",135,"ComBat_seq",0.0228813559322034,0.7885,58.3
"power_effect","1",135,"ComBat",0.0507768361581921,0.897,32.1
"power_effect","1",135,"limma",0.0634180790960452,0.939,29.5
"power_effect","1",135,"RNABC",0.0521892655367232,0.9365,30
