"dataset","method","sil_platform","sil_biological","ARI","secs"
"SEQC","No_correction",0.525224448293554,0.352507491438991,-0.0402010050251256,0.5
"SEQC","QN",0.397365241326345,0.358441761573619,-0.0402010050251256,1.2
"SEQC","Angel",0.392746083037879,0.35870175993598,-0.0402010050251256,0.5
"SEQC","TDM",0.536536610877802,0.359931010914664,-0.0402010050251256,3.8
"SEQC","MMR",NA,NA,NA,0.1
"SEQC","ComBat",0.0761158285204615,0.446987371319711,1,5.2
"SEQC","RNABC",0.0274227287319262,0.415323061751484,1,2.1
"SEQC","limma",-0.00316676919430493,0.444613352024833,1,0.6
"SEQC","XPN",-0.0372800998604919,0.424358268450912,1,55.2
"SEQC","MNN",0.293174606039053,0.355364086701449,0.0891089108910891,1
"SEQC","ComBat_seq",0.129405056700969,0.423773333093054,1,9.1
"CCLE","No_correction",0.517832681834637,0.0351356164794831,-0.00333028711716838,4.9
"CCLE","QN",0.267612149043039,0.0506888581636881,-0.00395499838749449,5.5
"CCLE","Angel",0.275294971770445,0.0517605571606734,-0.00333028711716838,5
"CCLE","TDM",0.340462201889181,0.0472746710454832,-0.00333028711716838,22
"CCLE","MMR",NA,NA,NA,0.1
"CCLE","ComBat",-0.00419455732729105,0.068807354426525,0.00053832550152676,5.8
"CCLE","RNABC",-0.00517749159161811,0.06783831605239,0.00053832550152676,5.2
"CCLE","limma",0.0057649806045341,0.0663012238913854,0.00053832550152676,4.9
"CCLE","XPN",-0.00443103879753131,0.0611228603141708,-0.000176351143679063,264.7
"CCLE","MNN",0.0404278636068679,0.100493377582046,0.000179710213082659,9.6
"CCLE","ComBat_seq",0.0272031622740654,0.0607884290926132,0.000179710213082659,134.9
"METSIM","No_correction",0.710370353490051,0.00872264513052304,-0.0010154507527307,27.1
"METSIM","QN",0.440089671595924,0.0150881625649213,-0.00220784723689132,29.4
"METSIM","Angel",0.444845715318758,0.0142142377128863,-0.0010154507527307,29.8
"METSIM","TDM",0.532555668226779,0.0147585531362768,0.00510875586946497,75.8
"METSIM","MMR",0.121772028462755,0.0249452161631716,-0.00220784723689132,32.1
"METSIM","ComBat",0.0070554984080273,0.0236259954235509,-0.00220784723689132,36
"METSIM","RNABC",0.00493421885174494,0.024622906913334,-0.00220784723689132,30.1
"METSIM","limma",0.0185410397930648,0.0231842658440152,-0.00220784723689132,30.2
"METSIM","XPN",0.00304666802678042,0.0277210872081309,-0.00220784723689132,1015.7
"METSIM","MNN",0.270756598849999,0.00971289964958458,0.00510875586946497,51.9
"METSIM","ComBat_seq",0.275156537793094,0.0205727141106178,0.00510875586946497,191.7
"TCGA-LUSC","No_correction",0.580368400707447,0.00128289291000673,5.09059218273817e-05,22.1
"TCGA-LUSC","QN",0.327331794923551,0.00155364976536793,-4.01213549090136e-05,24.8
"TCGA-LUSC","Angel",0.332373902723239,0.00166306548092239,-4.01213549090136e-05,22.5
"TCGA-LUSC","TDM",0.344585325663431,0.00131099672356632,-4.01213549090136e-05,82.4
"TCGA-LUSC","MMR",NA,NA,NA,0.1
"TCGA-LUSC","ComBat",-0.0153070420912694,0.00267173654005587,-4.01213549090136e-05,27.6
"TCGA-LUSC","RNABC",-0.00493092285271704,0.00242152017608575,-4.01213549090136e-05,34
"TCGA-LUSC","limma",-0.01119507465792,0.00262664199440923,-4.01213549090136e-05,23.6
"TCGA-LUSC","XPN",-0.0102219105088907,0.00202767683490302,-4.01213549090136e-05,690.8
"TCGA-LUSC","MNN",-0.0404882800070379,0.00294582997990772,-3.01868537313853e-05,57.5
"TCGA-LUSC","ComBat_seq",-0.0360831541439095,0.00187505917575219,0.000267820595963946,226.4
