"dataset","method","sil_platform","sil_biological","ARI","KS_median","KS_mean","n_array","n_seq","secs"
"CCLE","No_correction",0.509214696020255,0.0278591828627263,-0.010204081632653,0.92,0.824573996552573,50,50,4
"CCLE","QN",0.261625014081013,0.0449227539095102,-0.010204081632653,0.56,0.56670647623738,50,50,2.1
"CCLE","Angel",0.269701988477127,0.0453581773358971,-0.010204081632653,0.56,0.56675572519084,50,50,2.8
"CCLE","TDM",0.33441386415736,0.0404766958616278,-0.010204081632653,0.7,0.659411475006156,50,50,7.1
"CCLE","MMR",0.106817220952114,0.0501676570801384,0,0.33,0.360039399162768,50,50,1.9
"CCLE","ComBat",-0.00865058213743378,0.0627038378372651,0.000808721249959678,0.16,0.202331937946319,50,50,5.7
"CCLE","ComBat_seq",0.0228201141004667,0.0551472321780404,0,0.18,0.230619305589756,50,50,28.9
"CCLE","RNABC",-0.0101085352649386,0.0617726988269539,0.000808721249959678,0.14,0.166260773208569,50,50,2.3
"CCLE","limma",-0.000977580382069869,0.0606453921231361,0,0.22,0.278224575227776,50,50,2.2
"CCLE","XPN",-0.00958801018773658,0.0528005212699973,0.000808721249959678,0.16,0.173213494213248,50,50,79.4
"CCLE","MNN",0.0897651142403192,0.117314367719433,0,0.3,0.304034720512189,50,50,3.7
"CCLE","Shambhala2",0.238166292159895,0.0360653326490996,0,0.46,0.462737010588525,50,50,1079
"CCLE","Rank_in",0.0871668724773521,-0.00704389720145462,0,0.28,0.3225843388328,50,50,64.4
"CCLE","COCONUT",0.00503782904439974,0.0572065207402362,0,0.22,0.25248584092588,50,50,2.5
"METSIM","No_correction",0.714708612398422,0.00299113280092601,-0.00698174006444689,1,0.938074257425743,50,50,2.8
"METSIM","QN",0.450600008504212,0.00317180778537271,-0.00698174006444689,0.86,0.758631188118812,50,50,3
"METSIM","Angel",0.455111861394076,0.00387849037170342,-0.00698174006444689,0.86,0.758647277227723,50,50,2.2
"METSIM","TDM",0.538830287509792,0.00836067166735002,-0.014109347442681,0.96,0.838222772277228,50,50,7.9
"METSIM","MMR",0.0714378239939769,-0.00322488647835268,-0.014109347442681,0.4,0.39962995049505,50,50,1.9
"METSIM","ComBat",0.033364788170416,-0.00258142055995493,-0.014109347442681,0.16,0.216747524752475,50,50,5.5
"METSIM","ComBat_seq",0.27554891021106,0.00856186184368915,-0.014109347442681,0.26,0.453095297029703,50,50,14.9
"METSIM","RNABC",-0.0026902271445669,-0.00275989688656703,-0.014109347442681,0.16,0.189772277227723,50,50,2.3
"METSIM","limma",0.0167311310327543,-0.00255809844729392,-0.014109347442681,0.22,0.256513613861386,50,50,2.9
"METSIM","XPN",-0.00573219362735455,-0.00239156898517205,-0.014109347442681,0.14,0.179350247524752,50,50,82.3
"METSIM","MNN",0.10825068066873,0.0527048275783265,-0.014109347442681,0.4,0.410631188118812,50,50,3.6
"METSIM","Shambhala2",0.26282672643839,-0.00705883908090787,-0.014109347442681,0.5,0.485773514851485,50,50,1093.3
"METSIM","Rank_in",0.0222145253614021,0.00258917499529298,-0.014109347442681,0.22,0.229575495049505,50,50,70
"METSIM","COCONUT",0.0471567988501911,0.0182886550242595,-0.014109347442681,0.32,0.336654702970297,50,50,2.7
"SEQC","No_correction",0.512260787138391,0.278917602810354,-0.0714285714285714,1,0.807129038827043,8,8,4.6
"SEQC","QN",0.356469658048646,0.308993566380306,-0.0714285714285714,0.625,0.712861458050502,8,8,3.5
"SEQC","Angel",0.354287854817092,0.309882061382854,-0.0714285714285714,0.625,0.71345540320391,8,8,3.5
"SEQC","TDM",0.515383269169757,0.283042241329361,-0.0714285714285714,1,0.80958118381754,8,8,6.5
