"dataset","method","sil_platform","sil_biological","ARI","secs"
"SEQC","No_correction",0.53806760505795,0.676929914811459,1,0.4
"SEQC","QN",0.538069977292568,0.676927816356297,1,1.3
"SEQC","Angel",0.53806760505795,0.676929914811459,1,0.4
"SEQC","TDM",0.538067639737386,0.676929914664335,1,2.8
"SEQC","MMR",NA,NA,NA,0
"SEQC","ComBat",0.509751878627885,0.710732036846286,1,4.5
"SEQC","RNABC",-0.108736263990354,0.912215334850743,1,1.6
"SEQC","limma",-0.107205731850276,0.906916489720883,1,0.4
"SEQC","XPN",-0.099823904110705,0.936205180686591,1,40.9
"SEQC","MNN",0.451378016245101,0.117432460223464,0.0891089108910891,1.7
"SEQC","ComBat_seq",0.223859448074018,0.841370268294434,1,5.2
"CCLE","No_correction",0.481967480068826,0.13786129127844,-0.00395499838749449,3.7
"CCLE","QN",0.481967500937229,0.137861369792095,-0.00395499838749449,3.4
"CCLE","Angel",0.481967480068826,0.13786129127844,-0.00395499838749449,3.8
"CCLE","TDM",0.481967471830808,0.137861292897895,-0.00395499838749449,17.3
"CCLE","MMR",NA,NA,NA,0
"CCLE","ComBat",-0.00106346693207902,0.196239787233731,-0.000173858821621702,4.6
"CCLE","RNABC",-0.00643261740073109,0.198640943722765,-0.000173858821621702,4
"CCLE","limma",0.038812458475172,0.191293931600474,-0.000173858821621702,3.8
"CCLE","XPN",-0.00306411802945508,0.184074745311861,0.00053832550152676,200.5
"CCLE","MNN",0.0285659698903672,0.264307774719447,0.000179710213082659,9.5
"CCLE","ComBat_seq",0.00131339364296834,0.19373398466015,-0.000173858821621702,76.6
"METSIM","No_correction",0.834241801568599,0.0211581413170638,-0.0010154507527307,12.3
"METSIM","QN",0.834241841491049,0.0211580753411462,-0.0010154507527307,14.8
"METSIM","Angel",0.834241801568599,0.0211581413170638,-0.0010154507527307,15.3
"METSIM","TDM",0.821696944793128,0.0222409949794169,-0.0010154507527307,52.5
"METSIM","MMR",0.144859956458618,0.0544327081878565,-0.00220784723689132,12.1
"METSIM","ComBat",0.00833375651931542,0.0538754425254181,0.00820057545131209,18
"METSIM","RNABC",0.00149545236745499,0.0530248326098829,0.00820057545131209,16.2
"METSIM","limma",0.0377135440812311,0.0517300599560034,-0.00220784723689132,15.1
"METSIM","XPN",0.0112576335897328,0.0572034661804181,-0.00220784723689132,575.6
"METSIM","MNN",0.464390981205272,0.0193036330406395,-0.000420296847243012,37.3
"METSIM","ComBat_seq",0.318168422004499,0.0534468147029603,0.0163708088721925,113.2
"TCGA-LUSC","No_correction",0.599108151625986,0.00334945562717123,-4.01213549090136e-05,9
"TCGA-LUSC","QN",0.599108151625986,0.00334945562717123,-4.01213549090136e-05,9.1
"TCGA-LUSC","Angel",0.599108151625986,0.00334945562717123,-4.01213549090136e-05,10.7
"TCGA-LUSC","TDM",0.599108193014626,0.00334946609056839,-4.01213549090136e-05,53.5
"TCGA-LUSC","MMR",NA,NA,NA,0.2
"TCGA-LUSC","ComBat",0.00855407726957913,0.00543856660020361,-4.01213549090136e-05,11
"TCGA-LUSC","RNABC",0.00175310292259716,0.00543778590604373,-4.01213549090136e-05,10.9
"TCGA-LUSC","limma",-0.0328174284644543,0.00567784224549287,-4.01213549090136e-05,9.9
"TCGA-LUSC","XPN",0.0601014141520419,0.0055079714175117,-4.01213549090136e-05,451.1
"TCGA-LUSC","MNN",-0.0658815984500141,0.00533067028432317,-4.01213549090136e-05,47.1
"TCGA-LUSC","ComBat_seq",-0.000335343915929592,0.00549881002272438,-4.01213549090136e-05,134.5
