"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,137,"QN",0.4945,0.00802407221664995,997,0.97152595338983,0.0148305084745763,0.754
"1:1",1000,1000,137,"Angel",0.4945,0.00802407221664995,997,0.971499841101695,0.0148305084745763,0.7535
"1:1",1000,1000,137,"TDM",0.381,0.00522193211488251,766,0.977105473163842,0.00713276836158192,0.6835
"1:1",1000,1000,137,"MMR",0.6545,0.0157894736842105,1330,0.936980967514124,0.036228813559322,0.7915
"1:1",1000,1000,137,"ComBat",0.776,0.0232850849590938,1589,0.978489495056497,0.0340395480225989,0.8775
"1:1",1000,1000,137,"ComBat_seq",0.6965,0.0106534090909091,1408,0.945310734463277,0.0209039548022599,0.8075
"1:1",1000,1000,137,"RNABC",0.8335,0.0245757753071972,1709,0.982468326271186,0.0405367231638418,0.9285
"1:1",1000,1000,137,"limma",0.84,0.032258064516129,1736,0.982890007062147,0.0432909604519774,0.932
"1:1",1000,1000,137,"MNN",0.512,0.0605504587155963,1090,0.924455155367232,0.0532485875706215,0.7725
"2:1",1333,667,137,"QN",0.5265,0.0213754646840149,1076,0.958326165254237,0.0274011299435028,0.7615
"2:1",1333,667,137,"Angel",0.525,0.0205223880597015,1072,0.958567178672316,0.0271892655367232,0.761
"2:1",1333,667,137,"TDM",0.431,0.0046189376443418,866,0.978472916666667,0.00720338983050847,0.718
"2:1",1333,667,137,"MMR",0.6895,0.0177809388335704,1406,0.942059710451977,0.0364406779661017,0.8145
"2:1",1333,667,137,"ComBat",0.7915,0.0526630760023938,1671,0.975246610169492,0.0547316384180791,0.895
"2:1",1333,667,137,"ComBat_seq",0.7595,0.0149156939040208,1542,0.960854131355932,0.0206214689265537,0.8555
"2:1",1333,667,137,"RNABC",0.8425,0.058659217877095,1790,0.976930208333333,0.0670197740112994,0.9325
"2:1",1333,667,137,"limma",0.8335,0.0501424501424501,1755,0.977817831920904,0.059816384180791,0.93
"2:1",1333,667,137,"MNN",0.5975,0.0919452887537994,1316,0.933585805084746,0.0708333333333333,0.7985
"3:1",1500,500,137,"QN",0.5245,0.0650623885918004,1122,0.933177577683616,0.0635593220338983,0.7585
"3:1",1500,500,137,"Angel",0.5245,0.0633928571428571,1120,0.933595109463277,0.0627118644067797,0.758
"3:1",1500,500,137,"TDM",0.4615,0.00431499460625674,927,0.978951024011299,0.00748587570621469,0.736
"3:1",1500,500,137,"MMR",0.6985,0.0175685172171469,1423,0.942935504943503,0.036228813559322,0.8245
"3:1",1500,500,137,"ComBat",0.7955,0.0944792259533295,1757,0.969746468926554,0.0753531073446328,0.894
"3:1",1500,500,137,"ComBat_seq",0.7815,0.0145018915510719,1586,0.96643501059322,0.0206920903954802,0.8765
"3:1",1500,500,137,"RNABC",0.8395,0.16008004002001,1999,0.965979943502825,0.122881355932203,0.923
"3:1",1500,500,137,"limma",0.824,0.0920110192837466,1815,0.971270038841808,0.0794491525423729,0.915
"3:1",1500,500,137,"MNN",0.5975,0.121323529411765,1360,0.92011447740113,0.092725988700565,0.7905
"4:1",1600,400,137,"QN",0.526,0.148867313915858,1236,0.91261811440678,0.103954802259887,0.747
"4:1",1600,400,137,"Angel",0.526,0.148867313915858,1236,0.912674841101695,0.103672316384181,0.7465
"4:1",1600,400,137,"TDM",0.473,0.00421052631578947,950,0.979754343220339,0.00748587570621469,0.752
"4:1",1600,400,137,"MMR",0.7135,0.0172176308539945,1452,0.945239865819209,0.0361581920903955,0.834
"4:1",1600,400,137,"ComBat",0.8035,0.133692722371968,1855,0.967235893361582,0.0889830508474576,0.897
"4:1",1600,400,137,"ComBat_seq",0.8025,0.0135218192993239,1627,0.97305459039548,0.020409604519774,0.892
"4:1",1600,400,137,"RNABC",0.845,0.29406850459482,2394,0.957853248587571,0.178319209039548,0.9215
"4:1",1600,400,137,"limma",0.8235,0.122535961640916,1877,0.967951712570622,0.0934322033898305,0.913
"4:1",1600,400,137,"MNN",0.612,0.198428290766208,1527,0.907782097457627,0.111581920903955,0.7835
"9:1",1800,200,137,"QN",0.5195,0.367235079171742,1642,0.871699240819209,0.185098870056497,0.732
"9:1",1800,200,137,"Angel",0.519,0.364749082007344,1634,0.872159604519774,0.184322033898305,0.732
"9:1",1800,200,137,"TDM",0.4995,0.00398803589232303,1003,0.981529025423729,0.0076271186440678,0.7715
"9:1",1800,200,137,"MMR",0.7355,0.0167112299465241,1496,0.953340130649717,0.0364406779661017,0.855
"9:1",1800,200,137,"ComBat",0.8085,0.20657507360157,2038,0.95924540960452,0.11885593220339,0.8975
"9:1",1800,200,137,"ComBat_seq",0.836,0.0141509433962264,1696,0.978480914548023,0.0209745762711864,0.914
"9:1",1800,200,137,"RNABC",0.857,0.522961313665461,3593,0.941583986581921,0.256709039548023,0.919
