"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,176,"QN",0.00836526181353768,0.814,0.796,0.832,51.9
"500_1:1",500,"1:1",250,250,176,"Angel",0.00836526181353768,0.814,0.796,0.832,52.6
"500_1:1",500,"1:1",250,250,176,"TDM",0.00517241379310345,0.776,0.74,0.812,64.8
"500_1:1",500,"1:1",250,250,176,"MMR",0.0245849297573436,0.858,0.82,0.896,49.6
"500_1:1",500,"1:1",250,250,176,"ComBat",0.0307151979565773,0.94,0.932,0.948,54.4
"500_1:1",500,"1:1",250,250,176,"ComBat_seq",0.016602809706258,0.928,0.924,0.932,96.3
"500_1:1",500,"1:1",250,250,176,"RNABC",0.0330140485312899,0.936,0.928,0.944,49.9
"500_1:1",500,"1:1",250,250,176,"limma",0.0336526181353768,0.942,0.928,0.956,50.7
"500_1:1",500,"1:1",250,250,176,"MNN",0.0226053639846743,0.842,0.848,0.836,52.5
"1000_1:1",1000,"1:1",500,500,176,"QN",0.00943271767810026,0.791,0.808,0.774,51.6
"1000_1:1",1000,"1:1",500,500,176,"Angel",0.00943271767810026,0.791,0.808,0.774,49.9
"1000_1:1",1000,"1:1",500,500,176,"TDM",0.00514511873350923,0.75,0.724,0.776,63.4
"1000_1:1",1000,"1:1",500,500,176,"MMR",0.0243403693931398,0.829,0.82,0.838,47.7
"1000_1:1",1000,"1:1",500,500,176,"ComBat",0.0321240105540897,0.941,0.944,0.938,51.7
"1000_1:1",1000,"1:1",500,500,176,"ComBat_seq",0.0164248021108179,0.923,0.928,0.918,92.3
"1000_1:1",1000,"1:1",500,500,176,"RNABC",0.037335092348285,0.936,0.94,0.932,50.3
"1000_1:1",1000,"1:1",500,500,176,"limma",0.0354221635883905,0.94,0.944,0.936,50.5
"1000_1:1",1000,"1:1",500,500,176,"MNN",0.0465039577836412,0.812,0.814,0.81,52.4
"2000_1:1",2000,"1:1",1000,1000,176,"QN",0.0134887005649718,0.77,0.779,0.761,50.5
"2000_1:1",2000,"1:1",1000,1000,176,"Angel",0.0134887005649718,0.7695,0.779,0.76,50.3
"2000_1:1",2000,"1:1",1000,1000,176,"TDM",0.00480225988700565,0.699,0.723,0.675,63.5
"2000_1:1",2000,"1:1",1000,1000,176,"MMR",0.024364406779661,0.7675,0.825,0.71,47.7
"2000_1:1",2000,"1:1",1000,1000,176,"ComBat",0.0415254237288136,0.8925,0.943,0.842,51.2
"2000_1:1",2000,"1:1",1000,1000,176,"ComBat_seq",0.0161016949152542,0.8215,0.928,0.715,91.7
"2000_1:1",2000,"1:1",1000,1000,176,"RNABC",0.0439971751412429,0.936,0.944,0.928,50.2
"2000_1:1",2000,"1:1",1000,1000,176,"limma",0.0439265536723164,0.939,0.941,0.937,50.6
"2000_1:1",2000,"1:1",1000,1000,176,"MNN",0.0774011299435028,0.7545,0.743,0.766,52.3
"4000_1:1",4000,"1:1",2000,2000,176,"QN",0.0150493421052632,0.79875,0.7775,0.82,50.4
"4000_1:1",4000,"1:1",2000,2000,176,"Angel",0.0150493421052632,0.79875,0.7775,0.82,50.9
"4000_1:1",4000,"1:1",2000,2000,176,"TDM",0.00476973684210526,0.708,0.739,0.677,63.8
"4000_1:1",4000,"1:1",2000,2000,176,"MMR",0.0253289473684211,0.76025,0.8375,0.683,48.1
"4000_1:1",4000,"1:1",2000,2000,176,"ComBat",0.0683388157894737,0.86675,0.943,0.7905,51
"4000_1:1",4000,"1:1",2000,2000,176,"ComBat_seq",0.0171875,0.8005,0.9325,0.6685,91.3
"4000_1:1",4000,"1:1",2000,2000,176,"RNABC",0.0597861842105263,0.94,0.9465,0.9335,51.7
"4000_1:1",4000,"1:1",2000,2000,176,"limma",0.0740131578947368,0.93975,0.943,0.9365,50.1
"4000_1:1",4000,"1:1",2000,2000,176,"MNN",0.291036184210526,0.765,0.7625,0.7675,53
"500_2:1",500,"2:1",333,167,176,"QN",0.00836526181353768,0.816,0.813813813813814,0.820359281437126,49.6
"500_2:1",500,"2:1",333,167,176,"Angel",0.00836526181353768,0.816,0.813813813813814,0.820359281437126,50.7
"500_2:1",500,"2:1",333,167,176,"TDM",0.00517241379310345,0.752,0.72972972972973,0.796407185628742,63
"500_2:1",500,"2:1",333,167,176,"MMR",0.0246487867177522,0.858,0.837837837837838,0.898203592814371,48.6
"500_2:1",500,"2:1",333,167,176,"ComBat",0.0353128991060026,0.948,0.93993993993994,0.964071856287425,50.6
"500_2:1",500,"2:1",333,167,176,"ComBat_seq",0.0168582375478927,0.936,0.933933933933934,0.940119760479042,93.1
"500_2:1",500,"2:1",333,167,176,"RNABC",0.0336526181353768,0.946,0.93993993993994,0.958083832335329,50.8
"500_2:1",500,"2:1",333,167,176,"limma",0.0373563218390805,0.952,0.942942942942943,0.970059880239521,49.6
"500_2:1",500,"2:1",333,167,176,"MNN",0.0339719029374202,0.832,0.822822822822823,0.850299401197605,53.1
"1000_2:1",1000,"2:1",667,333,176,"QN",0.00949868073878628,0.787,0.784107946026987,0.792792792792793,49.9
"1000_2:1",1000,"2:1",667,333,176,"Angel",0.00949868073878628,0.787,0.784107946026987,0.792792792792793,50.6
"1000_2:1",1000,"2:1",667,333,176,"TDM",0.00514511873350923,0.738,0.715142428785607,0.783783783783784,62.8
"1000_2:1",1000,"2:1",667,333,176,"MMR",0.0243403693931398,0.829,0.820089955022489,0.846846846846847,48.9
"1000_2:1",1000,"2:1",667,333,176,"ComBat",0.0429419525065963,0.945,0.947526236881559,0.93993993993994,50.3
"1000_2:1",1000,"2:1",667,333,176,"ComBat_seq",0.0172823218997361,0.925,0.926536731634183,0.921921921921922,92.8
"1000_2:1",1000,"2:1",667,333,176,"RNABC",0.0387862796833773,0.944,0.946026986506747,0.93993993993994,50.1
"1000_2:1",1000,"2:1",667,333,176,"limma",0.0441952506596306,0.941,0.941529235382309,0.93993993993994,49.9
"1000_2:1",1000,"2:1",667,333,176,"MNN",0.0396437994722955,0.805,0.799100449775112,0.816816816816817,53.2
"2000_2:1",2000,"2:1",1333,667,176,"QN",0.0206920903954802,0.78,0.762190547636909,0.815592203898051,49.6
"2000_2:1",2000,"2:1",1333,667,176,"Angel",0.0206920903954802,0.7795,0.762190547636909,0.814092953523238,51.2
"2000_2:1",2000,"2:1",1333,667,176,"TDM",0.00480225988700565,0.7085,0.723930982745686,0.677661169415292,63.8
"2000_2:1",2000,"2:1",1333,667,176,"MMR",0.0248587570621469,0.7815,0.81695423855964,0.710644677661169,47.7
"2000_2:1",2000,"2:1",1333,667,176,"ComBat",0.0740819209039548,0.9075,0.933233308327082,0.856071964017991,50.6
"2000_2:1",2000,"2:1",1333,667,176,"ComBat_seq",0.0175141242937853,0.8555,0.925731432858215,0.715142428785607,95.1
"2000_2:1",2000,"2:1",1333,667,176,"RNABC",0.0605932203389831,0.937,0.939234808702176,0.932533733133433,50.2
"2000_2:1",2000,"2:1",1333,667,176,"limma",0.0748587570621469,0.9355,0.932483120780195,0.941529235382309,50
"2000_2:1",2000,"2:1",1333,667,176,"MNN",0.0886299435028249,0.7405,0.753188297074269,0.715142428785607,53.1
"4000_2:1",4000,"2:1",2667,1333,176,"QN",0.243338815789474,0.784,0.756655418072741,0.838709677419355,50
