"level","total","ratio","n_up","n_down","seed","method","Type_I_error","Power","Power_up","Power_down","secs"
"500_1:1",500,"1:1",250,250,141,"XPN",0.0246487867177522,0.944,0.912,0.976,270
"1000_1:1",1000,"1:1",500,500,141,"XPN",0.028957783641161,0.948,0.934,0.962,280.4
"2000_1:1",2000,"1:1",1000,1000,141,"XPN",0.0324152542372881,0.9545,0.947,0.962,275.4
"4000_1:1",4000,"1:1",2000,2000,141,"XPN",0.0412828947368421,0.94775,0.946,0.9495,306.9
"500_2:1",500,"2:1",333,167,141,"XPN",0.026309067688378,0.932,0.915915915915916,0.964071856287425,274
"1000_2:1",1000,"2:1",667,333,141,"XPN",0.0297493403693931,0.945,0.932533733133433,0.96996996996997,289.7
"2000_2:1",2000,"2:1",1333,667,141,"XPN",0.0331920903954802,0.949,0.942985746436609,0.961019490254873,287.9
"4000_2:1",4000,"2:1",2667,1333,141,"XPN",0.065625,0.9455,0.943757030371204,0.948987246811703,305.3
"500_4:1",500,"4:1",400,100,141,"XPN",0.026309067688378,0.94,0.9325,0.97,265.8
"1000_4:1",1000,"4:1",800,200,141,"XPN",0.0306728232189974,0.942,0.93625,0.965,284.9
"2000_4:1",2000,"4:1",1600,400,141,"XPN",0.0332627118644068,0.9495,0.94375,0.9725,296.2
"4000_4:1",4000,"4:1",3200,800,141,"XPN",0.0666118421052632,0.94225,0.941875,0.94375,305.8
