"grid","level","seed","method","Type_I_error","Power"
"typeI_balance","balanced",149,"limma_2step",0.0316831683168317,NA
"typeI_balance","balanced",149,"limma_1step",0.0361386138613861,NA
"typeI_balance","same_imbalance",149,"limma_2step",0.0454826732673267,NA
"typeI_balance","same_imbalance",149,"limma_1step",0.0548267326732673,NA
"typeI_balance","opp_imbalance",149,"limma_2step",0.0512376237623762,NA
"typeI_balance","opp_imbalance",149,"limma_1step",0.0586633663366337,NA
"typeI_balance","half_imbalance",149,"limma_2step",0.0431311881188119,NA
"typeI_balance","half_imbalance",149,"limma_1step",0.0510519801980198,NA
"power_size","5",149,"limma_2step",0.0677966101694915,0.4145
"power_size","5",149,"limma_1step",0.0600282485875706,0.422
"power_size","10",149,"limma_2step",0.0326977401129944,0.601
"power_size","10",149,"limma_1step",0.036228813559322,0.6055
"power_size","30",149,"limma_2step",0.0557909604519774,0.8605
"power_size","30",149,"limma_1step",0.0550141242937853,0.862
"power_size","50",149,"limma_2step",0.0367937853107345,0.942
"power_size","50",149,"limma_1step",0.032274011299435,0.941
"power_balance","balanced",149,"limma_2step",0.0355932203389831,0.929
"power_balance","balanced",149,"limma_1step",0.031638418079096,0.928
"power_balance","same_imbalance",149,"limma_2step",0.034816384180791,0.9235
"power_balance","same_imbalance",149,"limma_1step",0.0358757062146893,0.9175
"power_balance","opp_imbalance",149,"limma_2step",0.0423728813559322,0.9065
"power_balance","opp_imbalance",149,"limma_1step",0.0413135593220339,0.9105
"power_balance","half_imbalance",149,"limma_2step",0.0264124293785311,0.948
"power_balance","half_imbalance",149,"limma_1step",0.0230225988700565,0.944
"power_effect","0.3",149,"limma_2step",0.0290960451977401,0.431
"power_effect","0.3",149,"limma_1step",0.0294491525423729,0.423
"power_effect","0.5",149,"limma_2step",0.0304378531073446,0.6865
"power_effect","0.5",149,"limma_1step",0.0298728813559322,0.6735
"power_effect","0.7",149,"limma_2step",0.0336158192090395,0.831
"power_effect","0.7",149,"limma_1step",0.0302966101694915,0.834
"power_effect","1",149,"limma_2step",0.0367937853107345,0.942
"power_effect","1",149,"limma_1step",0.032274011299435,0.941
