"method","rep","direction","penalty","AUC"
"Angel",1,"array_to_seq","lasso",0.75030525030525
"Angel",1,"array_to_seq","elastic_net",0.744200244200244
"Angel",1,"array_to_seq","ridge",0.905372405372405
"Angel",1,"seq_to_array","lasso",0.863247863247863
"Angel",1,"seq_to_array","elastic_net",0.912698412698413
"Angel",1,"seq_to_array","ridge",0.902930402930403
"Angel",2,"array_to_seq","lasso",0.812576312576313
"Angel",2,"array_to_seq","elastic_net",0.76984126984127
"Angel",2,"array_to_seq","ridge",0.863247863247863
"Angel",2,"seq_to_array","lasso",0.891330891330891
"Angel",2,"seq_to_array","elastic_net",0.927960927960928
"Angel",2,"seq_to_array","ridge",0.914529914529915
"Angel",3,"array_to_seq","lasso",0.83028083028083
"Angel",3,"array_to_seq","elastic_net",0.836996336996337
"Angel",3,"array_to_seq","ridge",0.902319902319902
"Angel",3,"seq_to_array","lasso",0.847985347985348
"Angel",3,"seq_to_array","elastic_net",0.940781440781441
"Angel",3,"seq_to_array","ridge",0.902319902319902
"Angel",4,"array_to_seq","lasso",0.707570207570207
"Angel",4,"array_to_seq","elastic_net",0.73992673992674
"Angel",4,"array_to_seq","ridge",0.86019536019536
"Angel",4,"seq_to_array","lasso",0.906593406593407
"Angel",4,"seq_to_array","elastic_net",0.916361416361416
"Angel",4,"seq_to_array","ridge",0.846153846153846
"Angel",5,"array_to_seq","lasso",0.775335775335775
"Angel",5,"array_to_seq","elastic_net",0.78998778998779
"Angel",5,"array_to_seq","ridge",0.919413919413919
"Angel",5,"seq_to_array","lasso",0.868131868131868
"Angel",5,"seq_to_array","elastic_net",0.882173382173382
"Angel",5,"seq_to_array","ridge",0.86019536019536
"Angel",6,"array_to_seq","lasso",0.747863247863248
"Angel",6,"array_to_seq","elastic_net",0.736263736263736
"Angel",6,"array_to_seq","ridge",0.865079365079365
"Angel",6,"seq_to_array","lasso",0.807081807081807
"Angel",6,"seq_to_array","elastic_net",0.825396825396825
"Angel",6,"seq_to_array","ridge",0.801587301587302
"Angel",7,"array_to_seq","lasso",0.694139194139194
"Angel",7,"array_to_seq","elastic_net",0.694139194139194
"Angel",7,"array_to_seq","ridge",0.807692307692308
"Angel",7,"seq_to_array","lasso",0.797924297924298
"Angel",7,"seq_to_array","elastic_net",0.80952380952381
"Angel",7,"seq_to_array","ridge",0.818681318681319
"Angel",8,"array_to_seq","lasso",0.761904761904762
"Angel",8,"array_to_seq","elastic_net",0.783272283272283
"Angel",8,"array_to_seq","ridge",0.861416361416361
"Angel",8,"seq_to_array","lasso",0.811355311355311
"Angel",8,"seq_to_array","elastic_net",0.838217338217338
"Angel",8,"seq_to_array","ridge",0.833333333333333
"Angel",9,"array_to_seq","lasso",0.699023199023199
"Angel",9,"array_to_seq","elastic_net",0.692918192918193
"Angel",9,"array_to_seq","ridge",0.894383394383394
"Angel",9,"seq_to_array","lasso",0.835164835164835
"Angel",9,"seq_to_array","elastic_net",0.857142857142857
"Angel",9,"seq_to_array","ridge",0.831501831501832
"Angel",10,"array_to_seq","lasso",0.802808302808303
"Angel",10,"array_to_seq","elastic_net",0.82051282051282
"Angel",10,"array_to_seq","ridge",0.807692307692308
"Angel",10,"seq_to_array","lasso",0.843101343101343
"Angel",10,"seq_to_array","elastic_net",0.846764346764347
"Angel",10,"seq_to_array","ridge",0.836996336996337
"Angel",11,"array_to_seq","lasso",0.784493284493284
"Angel",11,"array_to_seq","elastic_net",0.803418803418803
"Angel",11,"array_to_seq","ridge",0.801587301587302
"Angel",11,"seq_to_array","lasso",0.861416361416361
"Angel",11,"seq_to_array","elastic_net",0.884615384615385
"Angel",11,"seq_to_array","ridge",0.825396825396825
"Angel",12,"array_to_seq","lasso",0.684371184371184
"Angel",12,"array_to_seq","elastic_net",0.695360195360195
"Angel",12,"array_to_seq","ridge",0.801587301587302
"Angel",12,"seq_to_array","lasso",0.816849816849817
"Angel",12,"seq_to_array","elastic_net",0.862637362637363
"Angel",12,"seq_to_array","ridge",0.84004884004884
"Angel",13,"array_to_seq","lasso",0.921245421245421
"Angel",13,"array_to_seq","elastic_net",0.904151404151404
"Angel",13,"array_to_seq","ridge",0.874847374847375
"Angel",13,"seq_to_array","lasso",0.877899877899878
"Angel",13,"seq_to_array","elastic_net",0.885225885225885
"Angel",13,"seq_to_array","ridge",0.902930402930403
"Angel",14,"array_to_seq","lasso",0.786935286935287
"Angel",14,"array_to_seq","elastic_net",0.804029304029304
"Angel",14,"array_to_seq","ridge",0.894993894993895
"Angel",14,"seq_to_array","lasso",0.901098901098901
"Angel",14,"seq_to_array","elastic_net",0.918192918192918
"Angel",14,"seq_to_array","ridge",0.904761904761905
"Angel",15,"array_to_seq","lasso",0.631868131868132
"Angel",15,"array_to_seq","elastic_net",0.64041514041514
"Angel",15,"array_to_seq","ridge",0.771672771672772
"Angel",15,"seq_to_array","lasso",0.822344322344322
"Angel",15,"seq_to_array","elastic_net",0.85042735042735
"Angel",15,"seq_to_array","ridge",0.811355311355311
"Angel",16,"array_to_seq","lasso",0.749084249084249
"Angel",16,"array_to_seq","elastic_net",0.78021978021978
"Angel",16,"array_to_seq","ridge",0.849206349206349
"Angel",16,"seq_to_array","lasso",0.848595848595849
"Angel",16,"seq_to_array","elastic_net",0.869352869352869
"Angel",16,"seq_to_array","ridge",0.849206349206349
"Angel",17,"array_to_seq","lasso",0.755799755799756
"Angel",17,"array_to_seq","elastic_net",0.77960927960928
"Angel",17,"array_to_seq","ridge",0.875457875457875
"Angel",17,"seq_to_array","lasso",0.862637362637363
"Angel",17,"seq_to_array","elastic_net",0.868131868131868
"Angel",17,"seq_to_array","ridge",0.849206349206349
"Angel",18,"array_to_seq","lasso",0.723443223443223
"Angel",18,"array_to_seq","elastic_net",0.724053724053724
"Angel",18,"array_to_seq","ridge",0.848595848595849
