"method","rep","direction","penalty","AUC"
"ComBat",1,"array_to_seq","lasso",0.893162393162393
"ComBat",1,"array_to_seq","elastic_net",0.902319902319902
"ComBat",1,"array_to_seq","ridge",0.896214896214896
"ComBat",1,"seq_to_array","lasso",0.84004884004884
"ComBat",1,"seq_to_array","elastic_net",0.893772893772894
"ComBat",1,"seq_to_array","ridge",0.532967032967033
"ComBat",2,"array_to_seq","lasso",0.854700854700855
"ComBat",2,"array_to_seq","elastic_net",0.836385836385836
"ComBat",2,"array_to_seq","ridge",0.873015873015873
"ComBat",2,"seq_to_array","lasso",0.906593406593407
"ComBat",2,"seq_to_array","elastic_net",0.91025641025641
"ComBat",2,"seq_to_array","ridge",0.768620268620269
"ComBat",3,"array_to_seq","lasso",0.900488400488401
"ComBat",3,"array_to_seq","elastic_net",0.902930402930403
"ComBat",3,"array_to_seq","ridge",0.883394383394383
"ComBat",3,"seq_to_array","lasso",0.895604395604396
"ComBat",3,"seq_to_array","elastic_net",0.945665445665446
"ComBat",3,"seq_to_array","ridge",0.548229548229548
"ComBat",4,"array_to_seq","lasso",0.816849816849817
"ComBat",4,"array_to_seq","elastic_net",0.867521367521368
"ComBat",4,"array_to_seq","ridge",0.881562881562882
"ComBat",4,"seq_to_array","lasso",0.898046398046398
"ComBat",4,"seq_to_array","elastic_net",0.896214896214896
"ComBat",4,"seq_to_array","ridge",0.711233211233211
"ComBat",5,"array_to_seq","lasso",0.852258852258852
"ComBat",5,"array_to_seq","elastic_net",0.881562881562882
"ComBat",5,"array_to_seq","ridge",0.911477411477411
"ComBat",5,"seq_to_array","lasso",0.835775335775336
"ComBat",5,"seq_to_array","elastic_net",0.852869352869353
"ComBat",5,"seq_to_array","ridge",0.767399267399267
"ComBat",6,"array_to_seq","lasso",0.822344322344322
"ComBat",6,"array_to_seq","elastic_net",0.857142857142857
"ComBat",6,"array_to_seq","ridge",0.857142857142857
"ComBat",6,"seq_to_array","lasso",0.797313797313797
"ComBat",6,"seq_to_array","elastic_net",0.832722832722833
"ComBat",6,"seq_to_array","ridge",0.739316239316239
"ComBat",7,"array_to_seq","lasso",0.796703296703297
"ComBat",7,"array_to_seq","elastic_net",0.802808302808303
"ComBat",7,"array_to_seq","ridge",0.821733821733822
"ComBat",7,"seq_to_array","lasso",0.821733821733822
"ComBat",7,"seq_to_array","elastic_net",0.82051282051282
"ComBat",7,"seq_to_array","ridge",0.812576312576313
"ComBat",8,"array_to_seq","lasso",0.841269841269841
"ComBat",8,"array_to_seq","elastic_net",0.854090354090354
"ComBat",8,"array_to_seq","ridge",0.862026862026862
"ComBat",8,"seq_to_array","lasso",0.815018315018315
"ComBat",8,"seq_to_array","elastic_net",0.851037851037851
"ComBat",8,"seq_to_array","ridge",0.761294261294261
"ComBat",9,"array_to_seq","lasso",0.780830280830281
"ComBat",9,"array_to_seq","elastic_net",0.818070818070818
"ComBat",9,"array_to_seq","ridge",0.893772893772894
"ComBat",9,"seq_to_array","lasso",0.851648351648352
"ComBat",9,"seq_to_array","elastic_net",0.86019536019536
"ComBat",9,"seq_to_array","ridge",0.812576312576313
"ComBat",10,"array_to_seq","lasso",0.83028083028083
"ComBat",10,"array_to_seq","elastic_net",0.846153846153846
"ComBat",10,"array_to_seq","ridge",0.775335775335775
"ComBat",10,"seq_to_array","lasso",0.835775335775336
"ComBat",10,"seq_to_array","elastic_net",0.838827838827839
"ComBat",10,"seq_to_array","ridge",0.808302808302808
"ComBat",11,"array_to_seq","lasso",0.847374847374847
"ComBat",11,"array_to_seq","elastic_net",0.855921855921856
"ComBat",11,"array_to_seq","ridge",0.797924297924298
"ComBat",11,"seq_to_array","lasso",0.854700854700855
"ComBat",11,"seq_to_array","elastic_net",0.869352869352869
"ComBat",11,"seq_to_array","ridge",0.501221001221001
"ComBat",12,"array_to_seq","lasso",0.789377289377289
"ComBat",12,"array_to_seq","elastic_net",0.788156288156288
"ComBat",12,"array_to_seq","ridge",0.788766788766789
"ComBat",12,"seq_to_array","lasso",0.811965811965812
"ComBat",12,"seq_to_array","elastic_net",0.818070818070818
"ComBat",12,"seq_to_array","ridge",0.785103785103785
"ComBat",13,"array_to_seq","lasso",0.948107448107448
"ComBat",13,"array_to_seq","elastic_net",0.937728937728938
"ComBat",13,"array_to_seq","ridge",0.839438339438339
"ComBat",13,"seq_to_array","lasso",0.904761904761905
"ComBat",13,"seq_to_array","elastic_net",0.911477411477411
"ComBat",13,"seq_to_array","ridge",0.774725274725275
"ComBat",14,"array_to_seq","lasso",0.874236874236874
"ComBat",14,"array_to_seq","elastic_net",0.866910866910867
"ComBat",14,"array_to_seq","ridge",0.89010989010989
"ComBat",14,"seq_to_array","lasso",0.901709401709402
"ComBat",14,"seq_to_array","elastic_net",0.916971916971917
"ComBat",14,"seq_to_array","ridge",0.827838827838828
"ComBat",15,"array_to_seq","lasso",0.694749694749695
"ComBat",15,"array_to_seq","elastic_net",0.762515262515262
"ComBat",15,"array_to_seq","ridge",0.777167277167277
"ComBat",15,"seq_to_array","lasso",0.81013431013431
"ComBat",15,"seq_to_array","elastic_net",0.844322344322344
"ComBat",15,"seq_to_array","ridge",0.796703296703297
"ComBat",16,"array_to_seq","lasso",0.802808302808303
"ComBat",16,"array_to_seq","elastic_net",0.839438339438339
"ComBat",16,"array_to_seq","ridge",0.871184371184371
"ComBat",16,"seq_to_array","lasso",0.841880341880342
"ComBat",16,"seq_to_array","elastic_net",0.863858363858364
"ComBat",16,"seq_to_array","ridge",0.684981684981685
"ComBat",17,"array_to_seq","lasso",0.823565323565324
"ComBat",17,"array_to_seq","elastic_net",0.838217338217338
"ComBat",17,"array_to_seq","ridge",0.875457875457875
"ComBat",17,"seq_to_array","lasso",0.852869352869353
"ComBat",17,"seq_to_array","elastic_net",0.857142857142857
"ComBat",17,"seq_to_array","ridge",0.766178266178266
"ComBat",18,"array_to_seq","lasso",0.851648351648352
"ComBat",18,"array_to_seq","elastic_net",0.864468864468865
"ComBat",18,"array_to_seq","ridge",0.847985347985348
"ComBat",18,"seq_to_array","lasso",0.904151404151404
"ComBat",18,"seq_to_array","elastic_net",0.89010989010989
"ComBat",18,"seq_to_array","ridge",0.509157509157509
"ComBat",19,"array_to_seq","lasso",0.831501831501832
"ComBat",19,"array_to_seq","elastic_net",0.853479853479853
"ComBat",19,"array_to_seq","ridge",0.778998778998779
"ComBat",19,"seq_to_array","lasso",0.838827838827839
"ComBat",19,"seq_to_array","elastic_net",0.860805860805861
"ComBat",19,"seq_to_array","ridge",0.811355311355311
"ComBat",20,"array_to_seq","lasso",0.857142857142857
"ComBat",20,"array_to_seq","elastic_net",0.876678876678877
"ComBat",20,"array_to_seq","ridge",0.934065934065934
"ComBat",20,"seq_to_array","lasso",0.839438339438339
"ComBat",20,"seq_to_array","elastic_net",0.854700854700855
"ComBat",20,"seq_to_array","ridge",0.561050061050061
"ComBat",21,"array_to_seq","lasso",0.885225885225885
"ComBat",21,"array_to_seq","elastic_net",0.913308913308913
"ComBat",21,"array_to_seq","ridge",0.923076923076923
"ComBat",21,"seq_to_array","lasso",0.871184371184371
"ComBat",21,"seq_to_array","elastic_net",0.890720390720391
"ComBat",21,"seq_to_array","ridge",0.462759462759463
"ComBat",22,"array_to_seq","lasso",0.848595848595849
"ComBat",22,"array_to_seq","elastic_net",0.851648351648352
"ComBat",22,"array_to_seq","ridge",0.82051282051282
"ComBat",22,"seq_to_array","lasso",0.873626373626374
"ComBat",22,"seq_to_array","elastic_net",0.866910866910867
"ComBat",22,"seq_to_array","ridge",0.639194139194139
"ComBat",23,"array_to_seq","lasso",0.758241758241758
"ComBat",23,"array_to_seq","elastic_net",0.756410256410256
"ComBat",23,"array_to_seq","ridge",0.802808302808303
"ComBat",23,"seq_to_array","lasso",0.839438339438339
"ComBat",23,"seq_to_array","elastic_net",0.838827838827839
"ComBat",23,"seq_to_array","ridge",0.705738705738706
"ComBat",24,"array_to_seq","lasso",0.835164835164835
"ComBat",24,"array_to_seq","elastic_net",0.841269841269841
"ComBat",24,"array_to_seq","ridge",0.851037851037851
"ComBat",24,"seq_to_array","lasso",0.854700854700855
"ComBat",24,"seq_to_array","elastic_net",0.901098901098901
"ComBat",24,"seq_to_array","ridge",0.521367521367521
"ComBat",25,"array_to_seq","lasso",0.783272283272283
"ComBat",25,"array_to_seq","elastic_net",0.802808302808303
"ComBat",25,"array_to_seq","ridge",0.808913308913309
"ComBat",25,"seq_to_array","lasso",0.542735042735043
"ComBat",25,"seq_to_array","elastic_net",0.541514041514041
"ComBat",25,"seq_to_array","ridge",0.503663003663004
"ComBat",26,"array_to_seq","lasso",0.807692307692308
"ComBat",26,"array_to_seq","elastic_net",0.833943833943834
"ComBat",26,"array_to_seq","ridge",0.772283272283272
"ComBat",26,"seq_to_array","lasso",0.789377289377289
"ComBat",26,"seq_to_array","elastic_net",0.794261294261294
"ComBat",26,"seq_to_array","ridge",0.801587301587302
"ComBat",27,"array_to_seq","lasso",0.844932844932845
"ComBat",27,"array_to_seq","elastic_net",0.86996336996337
"ComBat",27,"array_to_seq","ridge",0.858363858363858
"ComBat",27,"seq_to_array","lasso",0.627594627594628
"ComBat",27,"seq_to_array","elastic_net",0.717948717948718
"ComBat",27,"seq_to_array","ridge",0.758241758241758
"ComBat",28,"array_to_seq","lasso",0.874847374847375
"ComBat",28,"array_to_seq","elastic_net",0.874236874236874
"ComBat",28,"array_to_seq","ridge",0.856532356532356
"ComBat",28,"seq_to_array","lasso",0.827838827838828
"ComBat",28,"seq_to_array","elastic_net",0.877899877899878
"ComBat",28,"seq_to_array","ridge",0.534188034188034
"ComBat",29,"array_to_seq","lasso",0.882783882783883
"ComBat",29,"array_to_seq","elastic_net",0.888888888888889
"ComBat",29,"array_to_seq","ridge",0.893162393162393
"ComBat",29,"seq_to_array","lasso",0.86996336996337
"ComBat",29,"seq_to_array","elastic_net",0.864468864468865
"ComBat",29,"seq_to_array","ridge",0.764957264957265
"ComBat",30,"array_to_seq","lasso",0.806471306471306
"ComBat",30,"array_to_seq","elastic_net",0.818681318681319
"ComBat",30,"array_to_seq","ridge",0.841269841269841
"ComBat",30,"seq_to_array","lasso",0.825396825396825
"ComBat",30,"seq_to_array","elastic_net",0.875457875457875
"ComBat",30,"seq_to_array","ridge",0.590964590964591
"ComBat",31,"array_to_seq","lasso",0.833333333333333
"ComBat",31,"array_to_seq","elastic_net",0.843711843711844
