"method","rep","direction","penalty","AUC"
"ComBat_seq",1,"array_to_seq","lasso",0.736874236874237
"ComBat_seq",1,"array_to_seq","elastic_net",0.831501831501832
"ComBat_seq",1,"array_to_seq","ridge",0.87973137973138
"ComBat_seq",1,"seq_to_array","lasso",0.862637362637363
"ComBat_seq",1,"seq_to_array","elastic_net",0.89010989010989
"ComBat_seq",1,"seq_to_array","ridge",0.899267399267399
"ComBat_seq",2,"array_to_seq","lasso",0.745421245421245
"ComBat_seq",2,"array_to_seq","elastic_net",0.821733821733822
"ComBat_seq",2,"array_to_seq","ridge",0.832112332112332
"ComBat_seq",2,"seq_to_array","lasso",0.846153846153846
"ComBat_seq",2,"seq_to_array","elastic_net",0.904151404151404
"ComBat_seq",2,"seq_to_array","ridge",0.927960927960928
"ComBat_seq",3,"array_to_seq","lasso",0.84004884004884
"ComBat_seq",3,"array_to_seq","elastic_net",0.921855921855922
"ComBat_seq",3,"array_to_seq","ridge",0.887667887667888
"ComBat_seq",3,"seq_to_array","lasso",0.880952380952381
"ComBat_seq",3,"seq_to_array","elastic_net",0.917582417582418
"ComBat_seq",3,"seq_to_array","ridge",0.90964590964591
"ComBat_seq",4,"array_to_seq","lasso",0.757020757020757
"ComBat_seq",4,"array_to_seq","elastic_net",0.791208791208791
"ComBat_seq",4,"array_to_seq","ridge",0.807692307692308
"ComBat_seq",4,"seq_to_array","lasso",0.788461538461538
"ComBat_seq",4,"seq_to_array","elastic_net",0.902319902319902
"ComBat_seq",4,"seq_to_array","ridge",0.863247863247863
"ComBat_seq",5,"array_to_seq","lasso",0.785103785103785
"ComBat_seq",5,"array_to_seq","elastic_net",0.822344322344322
"ComBat_seq",5,"array_to_seq","ridge",0.893772893772894
"ComBat_seq",5,"seq_to_array","lasso",0.787545787545788
"ComBat_seq",5,"seq_to_array","elastic_net",0.84981684981685
"ComBat_seq",5,"seq_to_array","ridge",0.88034188034188
"ComBat_seq",6,"array_to_seq","lasso",0.757631257631258
"ComBat_seq",6,"array_to_seq","elastic_net",0.778998778998779
"ComBat_seq",6,"array_to_seq","ridge",0.82967032967033
"ComBat_seq",6,"seq_to_array","lasso",0.811355311355311
"ComBat_seq",6,"seq_to_array","elastic_net",0.832722832722833
"ComBat_seq",6,"seq_to_array","ridge",0.824786324786325
"ComBat_seq",7,"array_to_seq","lasso",0.766788766788767
"ComBat_seq",7,"array_to_seq","elastic_net",0.811355311355311
"ComBat_seq",7,"array_to_seq","ridge",0.816849816849817
"ComBat_seq",7,"seq_to_array","lasso",0.804639804639805
