"method","rep","direction","penalty","AUC"
"MMR",1,"array_to_seq","lasso",0.845543345543346
"MMR",1,"array_to_seq","elastic_net",0.903540903540904
"MMR",1,"array_to_seq","ridge",0.452991452991453
"MMR",1,"seq_to_array","lasso",0.817460317460317
"MMR",1,"seq_to_array","elastic_net",0.903540903540904
"MMR",1,"seq_to_array","ridge",0.564102564102564
"MMR",2,"array_to_seq","lasso",0.741147741147741
"MMR",2,"array_to_seq","elastic_net",0.774725274725275
"MMR",2,"array_to_seq","ridge",0.53998778998779
"MMR",2,"seq_to_array","lasso",0.854700854700855
"MMR",2,"seq_to_array","elastic_net",0.92979242979243
"MMR",2,"seq_to_array","ridge",0.575702075702076
"MMR",3,"array_to_seq","lasso",0.843711843711844
"MMR",3,"array_to_seq","elastic_net",0.854090354090354
"MMR",3,"array_to_seq","ridge",0.589133089133089
"MMR",3,"seq_to_array","lasso",0.902319902319902
"MMR",3,"seq_to_array","elastic_net",0.921855921855922
"MMR",3,"seq_to_array","ridge",0.513125763125763
"MMR",4,"array_to_seq","lasso",0.627594627594628
"MMR",4,"array_to_seq","elastic_net",0.696581196581197
"MMR",4,"array_to_seq","ridge",0.487179487179487
"MMR",4,"seq_to_array","lasso",0.813186813186813
"MMR",4,"seq_to_array","elastic_net",0.925518925518926
"MMR",4,"seq_to_array","ridge",0.522893772893773
"MMR",5,"array_to_seq","lasso",0.767399267399267
"MMR",5,"array_to_seq","elastic_net",0.832112332112332
"MMR",5,"array_to_seq","ridge",0.534798534798535
"MMR",5,"seq_to_array","lasso",0.823565323565324
"MMR",5,"seq_to_array","elastic_net",0.865079365079365
"MMR",5,"seq_to_array","ridge",0.578754578754579
"MMR",6,"array_to_seq","lasso",0.800976800976801
"MMR",6,"array_to_seq","elastic_net",0.841880341880342
"MMR",6,"array_to_seq","ridge",0.611721611721612
"MMR",6,"seq_to_array","lasso",0.821733821733822
"MMR",6,"seq_to_array","elastic_net",0.840659340659341
"MMR",6,"seq_to_array","ridge",0.635531135531135
"MMR",7,"array_to_seq","lasso",0.703907203907204
"MMR",7,"array_to_seq","elastic_net",0.799145299145299
"MMR",7,"array_to_seq","ridge",0.498168498168498
"MMR",7,"seq_to_array","lasso",0.811965811965812
"MMR",7,"seq_to_array","elastic_net",0.822344322344322
"MMR",7,"seq_to_array","ridge",0.54029304029304
"MMR",8,"array_to_seq","lasso",0.802808302808303
"MMR",8,"array_to_seq","elastic_net",0.844932844932845
"MMR",8,"array_to_seq","ridge",0.53968253968254
"MMR",8,"seq_to_array","lasso",0.796703296703297
"MMR",8,"seq_to_array","elastic_net",0.833943833943834
"MMR",8,"seq_to_array","ridge",0.810744810744811
"MMR",9,"array_to_seq","lasso",0.63980463980464
"MMR",9,"array_to_seq","elastic_net",0.716727716727717
"MMR",9,"array_to_seq","ridge",0.576312576312576
"MMR",9,"seq_to_array","lasso",0.832112332112332
"MMR",9,"seq_to_array","elastic_net",0.827228327228327
"MMR",9,"seq_to_array","ridge",0.701465201465201
"MMR",10,"array_to_seq","lasso",0.804639804639805
"MMR",10,"array_to_seq","elastic_net",0.831501831501831
"MMR",10,"array_to_seq","ridge",0.506105006105006
"MMR",10,"seq_to_array","lasso",0.867521367521368
"MMR",10,"seq_to_array","elastic_net",0.876678876678877
"MMR",10,"seq_to_array","ridge",0.616910866910867
"MMR",11,"array_to_seq","lasso",0.674603174603175
"MMR",11,"array_to_seq","elastic_net",0.724053724053724
"MMR",11,"array_to_seq","ridge",0.464590964590965
"MMR",11,"seq_to_array","lasso",0.83028083028083
"MMR",11,"seq_to_array","elastic_net",0.864468864468864
"MMR",11,"seq_to_array","ridge",0.662393162393162
"MMR",12,"array_to_seq","lasso",0.718559218559219
"MMR",12,"array_to_seq","elastic_net",0.780830280830281
"MMR",12,"array_to_seq","ridge",0.641636141636142
"MMR",12,"seq_to_array","lasso",0.804639804639805
"MMR",12,"seq_to_array","elastic_net",0.816239316239316
"MMR",12,"seq_to_array","ridge",0.731990231990232
"MMR",13,"array_to_seq","lasso",0.78998778998779
"MMR",13,"array_to_seq","elastic_net",0.787545787545788
"MMR",13,"array_to_seq","ridge",0.687423687423687
"MMR",13,"seq_to_array","lasso",0.571428571428571
"MMR",13,"seq_to_array","elastic_net",0.807081807081807
"MMR",13,"seq_to_array","ridge",0.497557997557998
"MMR",14,"array_to_seq","lasso",0.783882783882784
"MMR",14,"array_to_seq","elastic_net",0.761904761904762
"MMR",14,"array_to_seq","ridge",0.502136752136752
"MMR",14,"seq_to_array","lasso",0.854700854700855
"MMR",14,"seq_to_array","elastic_net",0.896214896214896
"MMR",14,"seq_to_array","ridge",0.927960927960928
"MMR",15,"array_to_seq","lasso",0.734432234432234
"MMR",15,"array_to_seq","elastic_net",0.786324786324786
"MMR",15,"array_to_seq","ridge",0.486568986568987
"MMR",15,"seq_to_array","lasso",0.827228327228327
"MMR",15,"seq_to_array","elastic_net",0.865079365079365
"MMR",15,"seq_to_array","ridge",0.513736263736264
"MMR",16,"array_to_seq","lasso",0.699023199023199
"MMR",16,"array_to_seq","elastic_net",0.742368742368742
"MMR",16,"array_to_seq","ridge",0.531135531135531
"MMR",16,"seq_to_array","lasso",0.81990231990232
"MMR",16,"seq_to_array","elastic_net",0.871184371184371
"MMR",16,"seq_to_array","ridge",0.822344322344322
"MMR",17,"array_to_seq","lasso",0.764346764346764
"MMR",17,"array_to_seq","elastic_net",0.772893772893773
"MMR",17,"array_to_seq","ridge",0.497557997557998
"MMR",17,"seq_to_array","lasso",0.815018315018315
"MMR",17,"seq_to_array","elastic_net",0.835164835164835
"MMR",17,"seq_to_array","ridge",0.752747252747253
"MMR",18,"array_to_seq","lasso",0.656898656898657
"MMR",18,"array_to_seq","elastic_net",0.684981684981685
"MMR",18,"array_to_seq","ridge",0.54029304029304
"MMR",18,"seq_to_array","lasso",0.727716727716728
"MMR",18,"seq_to_array","elastic_net",0.888278388278388
"MMR",18,"seq_to_array","ridge",0.594932844932845
"MMR",19,"array_to_seq","lasso",0.807081807081807
"MMR",19,"array_to_seq","elastic_net",0.742979242979243
"MMR",19,"array_to_seq","ridge",0.525641025641026
