"method","rep","direction","penalty","AUC"
"MNN",1,"array_to_seq","lasso",0.635531135531135
"MNN",1,"array_to_seq","elastic_net",0.645909645909646
"MNN",1,"array_to_seq","ridge",0.618437118437118
"MNN",1,"seq_to_array","lasso",0.852869352869353
"MNN",1,"seq_to_array","elastic_net",0.857142857142857
"MNN",1,"seq_to_array","ridge",0.913308913308913
"MNN",2,"array_to_seq","lasso",0.639194139194139
"MNN",2,"array_to_seq","elastic_net",0.692307692307692
"MNN",2,"array_to_seq","ridge",0.668498168498168
"MNN",2,"seq_to_array","lasso",0.68986568986569
"MNN",2,"seq_to_array","elastic_net",0.862026862026862
"MNN",2,"seq_to_array","ridge",0.889499389499389
"MNN",3,"array_to_seq","lasso",0.814407814407814
"MNN",3,"array_to_seq","elastic_net",0.786935286935287
"MNN",3,"array_to_seq","ridge",0.7997557997558
"MNN",3,"seq_to_array","lasso",0.816239316239316
"MNN",3,"seq_to_array","elastic_net",0.87973137973138
"MNN",3,"seq_to_array","ridge",0.888888888888889
"MNN",4,"array_to_seq","lasso",0.597680097680098
"MNN",4,"array_to_seq","elastic_net",0.594627594627595
"MNN",4,"array_to_seq","ridge",0.573260073260073
"MNN",4,"seq_to_array","lasso",0.846153846153846
"MNN",4,"seq_to_array","elastic_net",0.864468864468865
"MNN",4,"seq_to_array","ridge",0.868131868131868
"MNN",5,"array_to_seq","lasso",0.704517704517704
"MNN",5,"array_to_seq","elastic_net",0.704517704517705
"MNN",5,"array_to_seq","ridge",0.703296703296703
"MNN",5,"seq_to_array","lasso",0.800976800976801
"MNN",5,"seq_to_array","elastic_net",0.85958485958486
"MNN",5,"seq_to_array","ridge",0.883394383394383
"MNN",6,"array_to_seq","lasso",0.661172161172161
"MNN",6,"array_to_seq","elastic_net",0.676434676434676
"MNN",6,"array_to_seq","ridge",0.699023199023199
"MNN",6,"seq_to_array","lasso",0.773504273504274
"MNN",6,"seq_to_array","elastic_net",0.812576312576313
"MNN",6,"seq_to_array","ridge",0.857142857142857
"MNN",7,"array_to_seq","lasso",0.648962148962149
"MNN",7,"array_to_seq","elastic_net",0.660561660561661
"MNN",7,"array_to_seq","ridge",0.656288156288156
"MNN",7,"seq_to_array","lasso",0.788766788766789
"MNN",7,"seq_to_array","elastic_net",0.804029304029304
"MNN",7,"seq_to_array","ridge",0.786935286935287
"MNN",8,"array_to_seq","lasso",0.761294261294261
"MNN",8,"array_to_seq","elastic_net",0.771062271062271
"MNN",8,"array_to_seq","ridge",0.752136752136752
"MNN",8,"seq_to_array","lasso",0.716117216117216
"MNN",8,"seq_to_array","elastic_net",0.867521367521368
"MNN",8,"seq_to_array","ridge",0.833943833943834
"MNN",9,"array_to_seq","lasso",0.597680097680098
"MNN",9,"array_to_seq","elastic_net",0.623931623931624
"MNN",9,"array_to_seq","ridge",0.63980463980464
"MNN",9,"seq_to_array","lasso",0.701465201465202
"MNN",9,"seq_to_array","elastic_net",0.77960927960928
"MNN",9,"seq_to_array","ridge",0.844322344322344
"MNN",10,"array_to_seq","lasso",0.757631257631258
"MNN",10,"array_to_seq","elastic_net",0.768009768009768
"MNN",10,"array_to_seq","ridge",0.761294261294261
"MNN",10,"seq_to_array","lasso",0.863247863247863
"MNN",10,"seq_to_array","elastic_net",0.890720390720391
"MNN",10,"seq_to_array","ridge",0.88034188034188
"MNN",11,"array_to_seq","lasso",0.628205128205128
"MNN",11,"array_to_seq","elastic_net",0.636141636141636
"MNN",11,"array_to_seq","ridge",0.632478632478632
"MNN",11,"seq_to_array","lasso",0.768620268620269
"MNN",11,"seq_to_array","elastic_net",0.72954822954823
"MNN",11,"seq_to_array","ridge",0.833333333333333
"MNN",12,"array_to_seq","lasso",0.60989010989011
"MNN",12,"array_to_seq","elastic_net",0.615995115995116
"MNN",12,"array_to_seq","ridge",0.61965811965812
"MNN",12,"seq_to_array","lasso",0.660561660561661
"MNN",12,"seq_to_array","elastic_net",0.725885225885226
"MNN",12,"seq_to_array","ridge",0.84981684981685
"MNN",13,"array_to_seq","lasso",0.898046398046398
"MNN",13,"array_to_seq","elastic_net",0.897435897435897
"MNN",13,"array_to_seq","ridge",0.853479853479853
"MNN",13,"seq_to_array","lasso",0.863858363858364
"MNN",13,"seq_to_array","elastic_net",0.841269841269841
"MNN",13,"seq_to_array","ridge",0.882173382173382
"MNN",14,"array_to_seq","lasso",0.717338217338217
"MNN",14,"array_to_seq","elastic_net",0.715506715506716
"MNN",14,"array_to_seq","ridge",0.724664224664225
"MNN",14,"seq_to_array","lasso",0.843711843711844
"MNN",14,"seq_to_array","elastic_net",0.842490842490842
"MNN",14,"seq_to_array","ridge",0.928571428571429
"MNN",15,"array_to_seq","lasso",0.598901098901099
"MNN",15,"array_to_seq","elastic_net",0.611721611721612
"MNN",15,"array_to_seq","ridge",0.571428571428571
"MNN",15,"seq_to_array","lasso",0.81990231990232
"MNN",15,"seq_to_array","elastic_net",0.835775335775336
"MNN",15,"seq_to_array","ridge",0.813186813186813
"MNN",16,"array_to_seq","lasso",0.704517704517705
"MNN",16,"array_to_seq","elastic_net",0.722222222222222
"MNN",16,"array_to_seq","ridge",0.714896214896215
"MNN",16,"seq_to_array","lasso",0.782051282051282
"MNN",16,"seq_to_array","elastic_net",0.888888888888889
"MNN",16,"seq_to_array","ridge",0.870573870573871
"MNN",17,"array_to_seq","lasso",0.721611721611722
"MNN",17,"array_to_seq","elastic_net",0.724053724053724
"MNN",17,"array_to_seq","ridge",0.745421245421245
"MNN",17,"seq_to_array","lasso",0.816239316239316
"MNN",17,"seq_to_array","elastic_net",0.8003663003663
"MNN",17,"seq_to_array","ridge",0.852258852258852
"MNN",18,"array_to_seq","lasso",0.656898656898657
"MNN",18,"array_to_seq","elastic_net",0.668498168498168
"MNN",18,"array_to_seq","ridge",0.672771672771673
"MNN",18,"seq_to_array","lasso",0.754578754578755
"MNN",18,"seq_to_array","elastic_net",0.832722832722833
"MNN",18,"seq_to_array","ridge",0.872405372405372
"MNN",19,"array_to_seq","lasso",0.731379731379731
"MNN",19,"array_to_seq","elastic_net",0.747863247863248
"MNN",19,"array_to_seq","ridge",0.73015873015873
"MNN",19,"seq_to_array","lasso",0.876068376068376
"MNN",19,"seq_to_array","elastic_net",0.883394383394383
