"method","rep","direction","penalty","AUC"
"No_correction",1,"array_to_seq","lasso",0.857753357753358
"No_correction",1,"array_to_seq","elastic_net",0.867521367521368
"No_correction",1,"array_to_seq","ridge",0.894993894993895
"No_correction",1,"seq_to_array","lasso",0.6996336996337
"No_correction",1,"seq_to_array","elastic_net",0.865079365079365
"No_correction",1,"seq_to_array","ridge",0.5
"No_correction",2,"array_to_seq","lasso",0.747252747252747
"No_correction",2,"array_to_seq","elastic_net",0.826007326007326
"No_correction",2,"array_to_seq","ridge",0.839438339438339
"No_correction",2,"seq_to_array","lasso",0.862026862026862
"No_correction",2,"seq_to_array","elastic_net",0.880952380952381
"No_correction",2,"seq_to_array","ridge",0.583028083028083
"No_correction",3,"array_to_seq","lasso",0.847985347985348
"No_correction",3,"array_to_seq","elastic_net",0.904151404151404
"No_correction",3,"array_to_seq","ridge",0.909035409035409
"No_correction",3,"seq_to_array","lasso",0.891330891330891
"No_correction",3,"seq_to_array","elastic_net",0.909035409035409
"No_correction",3,"seq_to_array","ridge",0.5
"No_correction",4,"array_to_seq","lasso",0.725274725274725
"No_correction",4,"array_to_seq","elastic_net",0.763125763125763
"No_correction",4,"array_to_seq","ridge",0.741758241758242
"No_correction",4,"seq_to_array","lasso",0.768620268620269
"No_correction",4,"seq_to_array","elastic_net",0.905982905982906
"No_correction",4,"seq_to_array","ridge",0.5
"No_correction",5,"array_to_seq","lasso",0.766788766788767
"No_correction",5,"array_to_seq","elastic_net",0.830891330891331
"No_correction",5,"array_to_seq","ridge",0.868742368742369
"No_correction",5,"seq_to_array","lasso",0.727106227106227
"No_correction",5,"seq_to_array","elastic_net",0.81013431013431
"No_correction",5,"seq_to_array","ridge",0.5
"No_correction",6,"array_to_seq","lasso",0.742979242979243
"No_correction",6,"array_to_seq","elastic_net",0.812576312576313
"No_correction",6,"array_to_seq","ridge",0.800976800976801
"No_correction",6,"seq_to_array","lasso",0.780830280830281
"No_correction",6,"seq_to_array","elastic_net",0.822344322344322
"No_correction",6,"seq_to_array","ridge",0.5
"No_correction",7,"array_to_seq","lasso",0.727716727716728
"No_correction",7,"array_to_seq","elastic_net",0.76984126984127
"No_correction",7,"array_to_seq","ridge",0.804639804639805
"No_correction",7,"seq_to_array","lasso",0.805250305250305
"No_correction",7,"seq_to_array","elastic_net",0.822344322344322
"No_correction",7,"seq_to_array","ridge",0.5
"No_correction",8,"array_to_seq","lasso",0.758241758241758
"No_correction",8,"array_to_seq","elastic_net",0.813797313797314
"No_correction",8,"array_to_seq","ridge",0.81013431013431
"No_correction",8,"seq_to_array","lasso",0.773504273504274
"No_correction",8,"seq_to_array","elastic_net",0.793040293040293
