"method","rep","direction","penalty","AUC"
"QN",1,"array_to_seq","lasso",0.841880341880342
"QN",1,"array_to_seq","elastic_net",0.864468864468865
"QN",1,"array_to_seq","ridge",0.892551892551893
"QN",1,"seq_to_array","lasso",0.885836385836386
"QN",1,"seq_to_array","elastic_net",0.921855921855922
"QN",1,"seq_to_array","ridge",0.902319902319902
"QN",2,"array_to_seq","lasso",0.838217338217338
"QN",2,"array_to_seq","elastic_net",0.825396825396825
"QN",2,"array_to_seq","ridge",0.865079365079365
"QN",2,"seq_to_array","lasso",0.888888888888889
"QN",2,"seq_to_array","elastic_net",0.920634920634921
"QN",2,"seq_to_array","ridge",0.924297924297924
"QN",3,"array_to_seq","lasso",0.902930402930403
"QN",3,"array_to_seq","elastic_net",0.858363858363858
"QN",3,"array_to_seq","ridge",0.900488400488401
"QN",3,"seq_to_array","lasso",0.78021978021978
"QN",3,"seq_to_array","elastic_net",0.937728937728938
"QN",3,"seq_to_array","ridge",0.896214896214896
"QN",4,"array_to_seq","lasso",0.768009768009768
"QN",4,"array_to_seq","elastic_net",0.797313797313797
"QN",4,"array_to_seq","ridge",0.866300366300366
"QN",4,"seq_to_array","lasso",0.902930402930403
"QN",4,"seq_to_array","elastic_net",0.913919413919414
"QN",4,"seq_to_array","ridge",0.84004884004884
"QN",5,"array_to_seq","lasso",0.830891330891331
"QN",5,"array_to_seq","elastic_net",0.829059829059829
"QN",5,"array_to_seq","ridge",0.918803418803419
"QN",5,"seq_to_array","lasso",0.889499389499389
"QN",5,"seq_to_array","elastic_net",0.885225885225885
"QN",5,"seq_to_array","ridge",0.86996336996337
"QN",6,"array_to_seq","lasso",0.771672771672772
"QN",6,"array_to_seq","elastic_net",0.854090354090354
"QN",6,"array_to_seq","ridge",0.857142857142857
"QN",6,"seq_to_array","lasso",0.794871794871795
"QN",6,"seq_to_array","elastic_net",0.826617826617827
"QN",6,"seq_to_array","ridge",0.805860805860806
"QN",7,"array_to_seq","lasso",0.741147741147741
"QN",7,"array_to_seq","elastic_net",0.761294261294261
"QN",7,"array_to_seq","ridge",0.814407814407814
"QN",7,"seq_to_array","lasso",0.808302808302808
"QN",7,"seq_to_array","elastic_net",0.833333333333333
"QN",7,"seq_to_array","ridge",0.821733821733822
"QN",8,"array_to_seq","lasso",0.808302808302808
"QN",8,"array_to_seq","elastic_net",0.833333333333333
"QN",8,"array_to_seq","ridge",0.861416361416361
"QN",8,"seq_to_array","lasso",0.802197802197802
"QN",8,"seq_to_array","elastic_net",0.833943833943834
"QN",8,"seq_to_array","ridge",0.836385836385836
"QN",9,"array_to_seq","lasso",0.744200244200244
"QN",9,"array_to_seq","elastic_net",0.782051282051282
"QN",9,"array_to_seq","ridge",0.898046398046398
"QN",9,"seq_to_array","lasso",0.838827838827839
"QN",9,"seq_to_array","elastic_net",0.843711843711844
"QN",9,"seq_to_array","ridge",0.827228327228327
"QN",10,"array_to_seq","lasso",0.82967032967033
"QN",10,"array_to_seq","elastic_net",0.838827838827839
"QN",10,"array_to_seq","ridge",0.780830280830281
"QN",10,"seq_to_array","lasso",0.828449328449329
"QN",10,"seq_to_array","elastic_net",0.826617826617827
"QN",10,"seq_to_array","ridge",0.832112332112332
"QN",11,"array_to_seq","lasso",0.821123321123321
"QN",11,"array_to_seq","elastic_net",0.833943833943834
"QN",11,"array_to_seq","ridge",0.796703296703297
"QN",11,"seq_to_array","lasso",0.838217338217338
"QN",11,"seq_to_array","elastic_net",0.87973137973138
"QN",11,"seq_to_array","ridge",0.82051282051282
"QN",12,"array_to_seq","lasso",0.751526251526252
"QN",12,"array_to_seq","elastic_net",0.763125763125763
"QN",12,"array_to_seq","ridge",0.792429792429792
"QN",12,"seq_to_array","lasso",0.832112332112332
"QN",12,"seq_to_array","elastic_net",0.86996336996337
"QN",12,"seq_to_array","ridge",0.821733821733822
"QN",13,"array_to_seq","lasso",0.934065934065934
"QN",13,"array_to_seq","elastic_net",0.915750915750916
"QN",13,"array_to_seq","ridge",0.822954822954823
"QN",13,"seq_to_array","lasso",0.89010989010989
"QN",13,"seq_to_array","elastic_net",0.8998778998779
"QN",13,"seq_to_array","ridge",0.908424908424908
"QN",14,"array_to_seq","lasso",0.85958485958486
"QN",14,"array_to_seq","elastic_net",0.855921855921856
"QN",14,"array_to_seq","ridge",0.894993894993895
"QN",14,"seq_to_array","lasso",0.884615384615385
"QN",14,"seq_to_array","elastic_net",0.915140415140415
"QN",14,"seq_to_array","ridge",0.907814407814408
"QN",15,"array_to_seq","lasso",0.65995115995116
"QN",15,"array_to_seq","elastic_net",0.711843711843712
"QN",15,"array_to_seq","ridge",0.78021978021978
"QN",15,"seq_to_array","lasso",0.832112332112332
"QN",15,"seq_to_array","elastic_net",0.846153846153846
"QN",15,"seq_to_array","ridge",0.801587301587302
"QN",16,"array_to_seq","lasso",0.795482295482295
"QN",16,"array_to_seq","elastic_net",0.811965811965812
"QN",16,"array_to_seq","ridge",0.85958485958486
"QN",16,"seq_to_array","lasso",0.844322344322344
"QN",16,"seq_to_array","elastic_net",0.874236874236874
"QN",16,"seq_to_array","ridge",0.846153846153846
"QN",17,"array_to_seq","lasso",0.777777777777778
"QN",17,"array_to_seq","elastic_net",0.789377289377289
"QN",17,"array_to_seq","ridge",0.871184371184371
