"method","rep","direction","penalty","AUC"
"RNABC",1,"array_to_seq","lasso",0.877289377289377
"RNABC",1,"array_to_seq","elastic_net",0.902930402930403
"RNABC",1,"array_to_seq","ridge",0.902319902319902
"RNABC",1,"seq_to_array","lasso",0.89010989010989
"RNABC",1,"seq_to_array","elastic_net",0.911477411477411
"RNABC",1,"seq_to_array","ridge",0.906593406593407
"RNABC",2,"array_to_seq","lasso",0.827838827838828
"RNABC",2,"array_to_seq","elastic_net",0.854700854700855
"RNABC",2,"array_to_seq","ridge",0.872405372405372
"RNABC",2,"seq_to_array","lasso",0.885225885225885
"RNABC",2,"seq_to_array","elastic_net",0.918192918192918
"RNABC",2,"seq_to_array","ridge",0.92002442002442
"RNABC",3,"array_to_seq","lasso",0.920634920634921
"RNABC",3,"array_to_seq","elastic_net",0.945054945054945
"RNABC",3,"array_to_seq","ridge",0.912087912087912
"RNABC",3,"seq_to_array","lasso",0.767399267399267
"RNABC",3,"seq_to_array","elastic_net",0.931013431013431
"RNABC",3,"seq_to_array","ridge",0.90964590964591
"RNABC",4,"array_to_seq","lasso",0.833333333333333
"RNABC",4,"array_to_seq","elastic_net",0.85958485958486
"RNABC",4,"array_to_seq","ridge",0.876068376068376
"RNABC",4,"seq_to_array","lasso",0.897435897435897
"RNABC",4,"seq_to_array","elastic_net",0.907814407814408
"RNABC",4,"seq_to_array","ridge",0.84004884004884
"RNABC",5,"array_to_seq","lasso",0.858363858363858
"RNABC",5,"array_to_seq","elastic_net",0.879120879120879
"RNABC",5,"array_to_seq","ridge",0.917582417582418
"RNABC",5,"seq_to_array","lasso",0.886446886446887
"RNABC",5,"seq_to_array","elastic_net",0.87973137973138
"RNABC",5,"seq_to_array","ridge",0.866910866910867
"RNABC",6,"array_to_seq","lasso",0.807692307692308
"RNABC",6,"array_to_seq","elastic_net",0.853479853479853
"RNABC",6,"array_to_seq","ridge",0.856532356532356
"RNABC",6,"seq_to_array","lasso",0.778388278388278
"RNABC",6,"seq_to_array","elastic_net",0.822954822954823
"RNABC",6,"seq_to_array","ridge",0.806471306471306
"RNABC",7,"array_to_seq","lasso",0.800976800976801
"RNABC",7,"array_to_seq","elastic_net",0.813186813186813
"RNABC",7,"array_to_seq","ridge",0.81990231990232
"RNABC",7,"seq_to_array","lasso",0.821123321123321
"RNABC",7,"seq_to_array","elastic_net",0.840659340659341
"RNABC",7,"seq_to_array","ridge",0.824175824175824
"RNABC",8,"array_to_seq","lasso",0.832112332112332
"RNABC",8,"array_to_seq","elastic_net",0.849206349206349
"RNABC",8,"array_to_seq","ridge",0.862637362637363
"RNABC",8,"seq_to_array","lasso",0.819291819291819
"RNABC",8,"seq_to_array","elastic_net",0.835775335775336
"RNABC",8,"seq_to_array","ridge",0.832112332112332
"RNABC",9,"array_to_seq","lasso",0.77960927960928
"RNABC",9,"array_to_seq","elastic_net",0.827838827838828
"RNABC",9,"array_to_seq","ridge",0.890720390720391
"RNABC",9,"seq_to_array","lasso",0.838827838827839
"RNABC",9,"seq_to_array","elastic_net",0.860805860805861
"RNABC",9,"seq_to_array","ridge",0.831501831501832
"RNABC",10,"array_to_seq","lasso",0.832112332112332
"RNABC",10,"array_to_seq","elastic_net",0.845543345543346
"RNABC",10,"array_to_seq","ridge",0.77045177045177
"RNABC",10,"seq_to_array","lasso",0.834554334554335
"RNABC",10,"seq_to_array","elastic_net",0.840659340659341
"RNABC",10,"seq_to_array","ridge",0.838827838827839
