"method","rep","direction","penalty","AUC"
"TDM",1,"array_to_seq","lasso",0.891941391941392
"TDM",1,"array_to_seq","elastic_net",0.889499389499389
"TDM",1,"array_to_seq","ridge",0.888888888888889
"TDM",1,"seq_to_array","lasso",0.873015873015873
"TDM",1,"seq_to_array","elastic_net",0.893772893772894
"TDM",1,"seq_to_array","ridge",0.901098901098901
"TDM",2,"array_to_seq","lasso",0.744810744810745
"TDM",2,"array_to_seq","elastic_net",0.836385836385836
"TDM",2,"array_to_seq","ridge",0.836385836385836
"TDM",2,"seq_to_array","lasso",0.885225885225885
"TDM",2,"seq_to_array","elastic_net",0.914529914529915
"TDM",2,"seq_to_array","ridge",0.921245421245421
"TDM",3,"array_to_seq","lasso",0.848595848595849
"TDM",3,"array_to_seq","elastic_net",0.884615384615385
"TDM",3,"array_to_seq","ridge",0.905982905982906
"TDM",3,"seq_to_array","lasso",0.903540903540904
"TDM",3,"seq_to_array","elastic_net",0.925518925518926
"TDM",3,"seq_to_array","ridge",0.8998778998779
"TDM",4,"array_to_seq","lasso",0.732600732600733
"TDM",4,"array_to_seq","elastic_net",0.772283272283272
"TDM",4,"array_to_seq","ridge",0.744200244200244
"TDM",4,"seq_to_array","lasso",0.860805860805861
"TDM",4,"seq_to_array","elastic_net",0.918192918192918
"TDM",4,"seq_to_array","ridge",0.857753357753358
"TDM",5,"array_to_seq","lasso",0.767399267399267
"TDM",5,"array_to_seq","elastic_net",0.836996336996337
"TDM",5,"array_to_seq","ridge",0.867521367521368
"TDM",5,"seq_to_array","lasso",0.835775335775336
"TDM",5,"seq_to_array","elastic_net",0.82967032967033
"TDM",5,"seq_to_array","ridge",0.853479853479853
"TDM",6,"array_to_seq","lasso",0.728327228327228
"TDM",6,"array_to_seq","elastic_net",0.822954822954823
"TDM",6,"array_to_seq","ridge",0.796703296703297
"TDM",6,"seq_to_array","lasso",0.802808302808303
"TDM",6,"seq_to_array","elastic_net",0.835775335775336
"TDM",6,"seq_to_array","ridge",0.814407814407814
"TDM",7,"array_to_seq","lasso",0.733821733821734
"TDM",7,"array_to_seq","elastic_net",0.786935286935287
"TDM",7,"array_to_seq","ridge",0.808302808302808
"TDM",7,"seq_to_array","lasso",0.840659340659341
"TDM",7,"seq_to_array","elastic_net",0.827838827838828
"TDM",7,"seq_to_array","ridge",0.832112332112332
"TDM",8,"array_to_seq","lasso",0.763125763125763
"TDM",8,"array_to_seq","elastic_net",0.827228327228327
"TDM",8,"array_to_seq","ridge",0.807081807081807
"TDM",8,"seq_to_array","lasso",0.778998778998779
"TDM",8,"seq_to_array","elastic_net",0.808302808302808
"TDM",8,"seq_to_array","ridge",0.842490842490842
"TDM",9,"array_to_seq","lasso",0.67948717948718
"TDM",9,"array_to_seq","elastic_net",0.757020757020757
"TDM",9,"array_to_seq","ridge",0.838827838827839
"TDM",9,"seq_to_array","lasso",0.810744810744811
"TDM",9,"seq_to_array","elastic_net",0.81013431013431
"TDM",9,"seq_to_array","ridge",0.828449328449329
"TDM",10,"array_to_seq","lasso",0.796703296703297
"TDM",10,"array_to_seq","elastic_net",0.819291819291819
"TDM",10,"array_to_seq","ridge",0.805860805860806
"TDM",10,"seq_to_array","lasso",0.854700854700855
"TDM",10,"seq_to_array","elastic_net",0.862637362637363
"TDM",10,"seq_to_array","ridge",0.846764346764347
"TDM",11,"array_to_seq","lasso",0.793040293040293
"TDM",11,"array_to_seq","elastic_net",0.828449328449329
"TDM",11,"array_to_seq","ridge",0.789377289377289
"TDM",11,"seq_to_array","lasso",0.828449328449329
"TDM",11,"seq_to_array","elastic_net",0.876068376068376
"TDM",11,"seq_to_array","ridge",0.822344322344322
"TDM",12,"array_to_seq","lasso",0.734432234432234
"TDM",12,"array_to_seq","elastic_net",0.750915750915751
"TDM",12,"array_to_seq","ridge",0.736263736263736
