"method","rep","direction","penalty","AUC"
"XPN",1,"array_to_seq","lasso",0.891330891330891
"XPN",1,"array_to_seq","elastic_net",0.902319902319902
"XPN",1,"array_to_seq","ridge",0.871184371184371
"XPN",1,"seq_to_array","lasso",0.742979242979243
"XPN",1,"seq_to_array","elastic_net",0.824175824175824
"XPN",1,"seq_to_array","ridge",0.882173382173382
"XPN",2,"array_to_seq","lasso",0.827838827838828
"XPN",2,"array_to_seq","elastic_net",0.833333333333333
"XPN",2,"array_to_seq","ridge",0.774114774114774
"XPN",2,"seq_to_array","lasso",0.788156288156288
"XPN",2,"seq_to_array","elastic_net",0.85042735042735
"XPN",2,"seq_to_array","ridge",0.865689865689866
"XPN",3,"array_to_seq","lasso",0.896825396825397
"XPN",3,"array_to_seq","elastic_net",0.915750915750916
"XPN",3,"array_to_seq","ridge",0.824786324786325
"XPN",3,"seq_to_array","lasso",0.833943833943834
"XPN",3,"seq_to_array","elastic_net",0.868742368742369
"XPN",3,"seq_to_array","ridge",0.854700854700855
"XPN",4,"array_to_seq","lasso",0.797313797313797
"XPN",4,"array_to_seq","elastic_net",0.790598290598291
"XPN",4,"array_to_seq","ridge",0.717338217338217
"XPN",4,"seq_to_array","lasso",0.763125763125763
"XPN",4,"seq_to_array","elastic_net",0.876678876678877
"XPN",4,"seq_to_array","ridge",0.804639804639805
"XPN",5,"array_to_seq","lasso",0.841880341880342
"XPN",5,"array_to_seq","elastic_net",0.874847374847375
"XPN",5,"array_to_seq","ridge",0.839438339438339
"XPN",5,"seq_to_array","lasso",0.666666666666667
"XPN",5,"seq_to_array","elastic_net",0.753968253968254
"XPN",5,"seq_to_array","ridge",0.82051282051282
"XPN",6,"array_to_seq","lasso",0.800976800976801
"XPN",6,"array_to_seq","elastic_net",0.834554334554335
"XPN",6,"array_to_seq","ridge",0.797313797313797
"XPN",6,"seq_to_array","lasso",0.742979242979243
"XPN",6,"seq_to_array","elastic_net",0.795482295482296
"XPN",6,"seq_to_array","ridge",0.78021978021978
"XPN",7,"array_to_seq","lasso",0.763736263736264
"XPN",7,"array_to_seq","elastic_net",0.783272283272283
"XPN",7,"array_to_seq","ridge",0.785103785103785
"XPN",7,"seq_to_array","lasso",0.78021978021978
"XPN",7,"seq_to_array","elastic_net",0.782051282051282
"XPN",7,"seq_to_array","ridge",0.782051282051282
"XPN",8,"array_to_seq","lasso",0.835164835164835
"XPN",8,"array_to_seq","elastic_net",0.855921855921856
"XPN",8,"array_to_seq","ridge",0.81990231990232
"XPN",8,"seq_to_array","lasso",0.73992673992674
"XPN",8,"seq_to_array","elastic_net",0.794871794871795
"XPN",8,"seq_to_array","ridge",0.774114774114774
"XPN",9,"array_to_seq","lasso",0.775946275946276
"XPN",9,"array_to_seq","elastic_net",0.797924297924298
"XPN",9,"array_to_seq","ridge",0.804029304029304
"XPN",9,"seq_to_array","lasso",0.815018315018315
"XPN",9,"seq_to_array","elastic_net",0.794261294261294
"XPN",9,"seq_to_array","ridge",0.811965811965812
"XPN",10,"array_to_seq","lasso",0.78998778998779
