"method","rep","direction","penalty","AUC"
"limma",1,"array_to_seq","lasso",0.849206349206349
"limma",1,"array_to_seq","elastic_net",0.85958485958486
"limma",1,"array_to_seq","ridge",0.892551892551893
"limma",1,"seq_to_array","lasso",0.86996336996337
"limma",1,"seq_to_array","elastic_net",0.91025641025641
"limma",1,"seq_to_array","ridge",0.584859584859585
"limma",2,"array_to_seq","lasso",0.853479853479853
"limma",2,"array_to_seq","elastic_net",0.82967032967033
"limma",2,"array_to_seq","ridge",0.866300366300366
"limma",2,"seq_to_array","lasso",0.89010989010989
"limma",2,"seq_to_array","elastic_net",0.887057387057387
"limma",2,"seq_to_array","ridge",0.523504273504274
"limma",3,"array_to_seq","lasso",0.889499389499389
"limma",3,"array_to_seq","elastic_net",0.835775335775336
"limma",3,"array_to_seq","ridge",0.898656898656899
"limma",3,"seq_to_array","lasso",0.898046398046398
"limma",3,"seq_to_array","elastic_net",0.946886446886447
"limma",3,"seq_to_array","ridge",0.543345543345543
"limma",4,"array_to_seq","lasso",0.756410256410256
"limma",4,"array_to_seq","elastic_net",0.792429792429792
"limma",4,"array_to_seq","ridge",0.86996336996337
"limma",4,"seq_to_array","lasso",0.905982905982906
"limma",4,"seq_to_array","elastic_net",0.905372405372405
"limma",4,"seq_to_array","ridge",0.575091575091575
"limma",5,"array_to_seq","lasso",0.81013431013431
"limma",5,"array_to_seq","elastic_net",0.840659340659341
"limma",5,"array_to_seq","ridge",0.917582417582418
"limma",5,"seq_to_array","lasso",0.843101343101343
"limma",5,"seq_to_array","elastic_net",0.85042735042735
"limma",5,"seq_to_array","ridge",0.525030525030525
"limma",6,"array_to_seq","lasso",0.763736263736264
"limma",6,"array_to_seq","elastic_net",0.849206349206349
"limma",6,"array_to_seq","ridge",0.855311355311355
"limma",6,"seq_to_array","lasso",0.805860805860806
"limma",6,"seq_to_array","elastic_net",0.849206349206349
"limma",6,"seq_to_array","ridge",0.520757020757021
"limma",7,"array_to_seq","lasso",0.771672771672772
"limma",7,"array_to_seq","elastic_net",0.759462759462759
"limma",7,"array_to_seq","ridge",0.822954822954823
"limma",7,"seq_to_array","lasso",0.825396825396825
"limma",7,"seq_to_array","elastic_net",0.827838827838828
"limma",7,"seq_to_array","ridge",0.692307692307692
"limma",8,"array_to_seq","lasso",0.786324786324786
"limma",8,"array_to_seq","elastic_net",0.82051282051282
"limma",8,"array_to_seq","ridge",0.868131868131868
"limma",8,"seq_to_array","lasso",0.825396825396825
"limma",8,"seq_to_array","elastic_net",0.855921855921856
"limma",8,"seq_to_array","ridge",0.606227106227106
"limma",9,"array_to_seq","lasso",0.740537240537241
"limma",9,"array_to_seq","elastic_net",0.778998778998779
"limma",9,"array_to_seq","ridge",0.8998778998779
"limma",9,"seq_to_array","lasso",0.858974358974359
"limma",9,"seq_to_array","elastic_net",0.864468864468865
"limma",9,"seq_to_array","ridge",0.619047619047619
"limma",10,"array_to_seq","lasso",0.824175824175824
"limma",10,"array_to_seq","elastic_net",0.846764346764347
"limma",10,"array_to_seq","ridge",0.765567765567766
"limma",10,"seq_to_array","lasso",0.83028083028083
"limma",10,"seq_to_array","elastic_net",0.831501831501832
"limma",10,"seq_to_array","ridge",0.618437118437118
"limma",11,"array_to_seq","lasso",0.833333333333333
"limma",11,"array_to_seq","elastic_net",0.854090354090354
"limma",11,"array_to_seq","ridge",0.796703296703297
"limma",11,"seq_to_array","lasso",0.846764346764347
"limma",11,"seq_to_array","elastic_net",0.870573870573871
"limma",11,"seq_to_array","ridge",0.594627594627595
"limma",12,"array_to_seq","lasso",0.745421245421245
"limma",12,"array_to_seq","elastic_net",0.756410256410256
"limma",12,"array_to_seq","ridge",0.789377289377289
"limma",12,"seq_to_array","lasso",0.823565323565324
"limma",12,"seq_to_array","elastic_net",0.834554334554335
"limma",12,"seq_to_array","ridge",0.647130647130647
"limma",13,"array_to_seq","lasso",0.93956043956044
"limma",13,"array_to_seq","elastic_net",0.924908424908425
"limma",13,"array_to_seq","ridge",0.817460317460317
"limma",13,"seq_to_array","lasso",0.906593406593407
"limma",13,"seq_to_array","elastic_net",0.90964590964591
"limma",13,"seq_to_array","ridge",0.587912087912088
"limma",14,"array_to_seq","lasso",0.849206349206349
"limma",14,"array_to_seq","elastic_net",0.844932844932845
"limma",14,"array_to_seq","ridge",0.891330891330891
"limma",14,"seq_to_array","lasso",0.899267399267399
"limma",14,"seq_to_array","elastic_net",0.918803418803419
"limma",14,"seq_to_array","ridge",0.621489621489622
"limma",15,"array_to_seq","lasso",0.639194139194139
"limma",15,"array_to_seq","elastic_net",0.69047619047619
"limma",15,"array_to_seq","ridge",0.777167277167277
"limma",15,"seq_to_array","lasso",0.821123321123321
"limma",15,"seq_to_array","elastic_net",0.84004884004884
"limma",15,"seq_to_array","ridge",0.657509157509158
"limma",16,"array_to_seq","lasso",0.777777777777778
"limma",16,"array_to_seq","elastic_net",0.797313797313797
"limma",16,"array_to_seq","ridge",0.863858363858364
"limma",16,"seq_to_array","lasso",0.851037851037851
"limma",16,"seq_to_array","elastic_net",0.874236874236874
"limma",16,"seq_to_array","ridge",0.473137973137973
"limma",17,"array_to_seq","lasso",0.77960927960928
"limma",17,"array_to_seq","elastic_net",0.793650793650794
"limma",17,"array_to_seq","ridge",0.873015873015873
"limma",17,"seq_to_array","lasso",0.855921855921856
"limma",17,"seq_to_array","elastic_net",0.852869352869353
"limma",17,"seq_to_array","ridge",0.581807081807082
"limma",18,"array_to_seq","lasso",0.764957264957265
"limma",18,"array_to_seq","elastic_net",0.791208791208791
"limma",18,"array_to_seq","ridge",0.842490842490842
"limma",18,"seq_to_array","lasso",0.900488400488401
"limma",18,"seq_to_array","elastic_net",0.895604395604396
"limma",18,"seq_to_array","ridge",0.55006105006105
"limma",19,"array_to_seq","lasso",0.798534798534799
"limma",19,"array_to_seq","elastic_net",0.828449328449328
"limma",19,"array_to_seq","ridge",0.782661782661783
"limma",19,"seq_to_array","lasso",0.77045177045177
"limma",19,"seq_to_array","elastic_net",0.843711843711844
"limma",19,"seq_to_array","ridge",0.626373626373626
"limma",20,"array_to_seq","lasso",0.817460317460317
"limma",20,"array_to_seq","elastic_net",0.851037851037851
"limma",20,"array_to_seq","ridge",0.934676434676435
"limma",20,"seq_to_array","lasso",0.85958485958486
"limma",20,"seq_to_array","elastic_net",0.882173382173382
"limma",20,"seq_to_array","ridge",0.524114774114774
"limma",21,"array_to_seq","lasso",0.869352869352869
"limma",21,"array_to_seq","elastic_net",0.895604395604396
"limma",21,"array_to_seq","ridge",0.92002442002442
"limma",21,"seq_to_array","lasso",0.778388278388278
"limma",21,"seq_to_array","elastic_net",0.893772893772894
"limma",21,"seq_to_array","ridge",0.492368742368742
"limma",22,"array_to_seq","lasso",0.835164835164835
"limma",22,"array_to_seq","elastic_net",0.834554334554335
"limma",22,"array_to_seq","ridge",0.82051282051282
"limma",22,"seq_to_array","lasso",0.874847374847375
"limma",22,"seq_to_array","elastic_net",0.866910866910867
"limma",22,"seq_to_array","ridge",0.567765567765568
"limma",23,"array_to_seq","lasso",0.733821733821734
"limma",23,"array_to_seq","elastic_net",0.698412698412698
"limma",23,"array_to_seq","ridge",0.796703296703297
"limma",23,"seq_to_array","lasso",0.835775335775336
"limma",23,"seq_to_array","elastic_net",0.840659340659341
"limma",23,"seq_to_array","ridge",0.491452991452991
"limma",24,"array_to_seq","lasso",0.790598290598291
"limma",24,"array_to_seq","elastic_net",0.805250305250305
"limma",24,"array_to_seq","ridge",0.848595848595849
"limma",24,"seq_to_array","lasso",0.854090354090354
"limma",24,"seq_to_array","elastic_net",0.895604395604396
"limma",24,"seq_to_array","ridge",0.594627594627595
"limma",25,"array_to_seq","lasso",0.733211233211233
"limma",25,"array_to_seq","elastic_net",0.737484737484738
"limma",25,"array_to_seq","ridge",0.811355311355311
"limma",25,"seq_to_array","lasso",0.545177045177045
"limma",25,"seq_to_array","elastic_net",0.543040293040293
"limma",25,"seq_to_array","ridge",0.563797313797314
"limma",26,"array_to_seq","lasso",0.778998778998779
"limma",26,"array_to_seq","elastic_net",0.800976800976801
"limma",26,"array_to_seq","ridge",0.778998778998779
"limma",26,"seq_to_array","lasso",0.832722832722833
"limma",26,"seq_to_array","elastic_net",0.817460317460317
"limma",26,"seq_to_array","ridge",0.663003663003663
"limma",27,"array_to_seq","lasso",0.777167277167277
"limma",27,"array_to_seq","elastic_net",0.813797313797314
"limma",27,"array_to_seq","ridge",0.861416361416361
"limma",27,"seq_to_array","lasso",0.527472527472527
"limma",27,"seq_to_array","elastic_net",0.543345543345543
"limma",27,"seq_to_array","ridge",0.588522588522589
"limma",28,"array_to_seq","lasso",0.879120879120879
"limma",28,"array_to_seq","elastic_net",0.875457875457875
"limma",28,"array_to_seq","ridge",0.864468864468864
"limma",28,"seq_to_array","lasso",0.84004884004884
"limma",28,"seq_to_array","elastic_net",0.871184371184371
"limma",28,"seq_to_array","ridge",0.587912087912088
"limma",29,"array_to_seq","lasso",0.871184371184371
"limma",29,"array_to_seq","elastic_net",0.855921855921856
"limma",29,"array_to_seq","ridge",0.891941391941392
"limma",29,"seq_to_array","lasso",0.86996336996337
"limma",29,"seq_to_array","elastic_net",0.863247863247863
"limma",29,"seq_to_array","ridge",0.574481074481074
"limma",30,"array_to_seq","lasso",0.760683760683761
"limma",30,"array_to_seq","elastic_net",0.772893772893773
"limma",30,"array_to_seq","ridge",0.836385836385836
"limma",30,"seq_to_array","lasso",0.814407814407814
"limma",30,"seq_to_array","elastic_net",0.88034188034188
"limma",30,"seq_to_array","ridge",0.612332112332112
"limma",31,"array_to_seq","lasso",0.826007326007326
"limma",31,"array_to_seq","elastic_net",0.832112332112332
"limma",31,"array_to_seq","ridge",0.821123321123321
"limma",31,"seq_to_array","lasso",0.683760683760684
"limma",31,"seq_to_array","elastic_net",0.84004884004884
"limma",31,"seq_to_array","ridge",0.633699633699634
"limma",32,"array_to_seq","lasso",0.789377289377289
"limma",32,"array_to_seq","elastic_net",0.82967032967033
"limma",32,"array_to_seq","ridge",0.882783882783883
"limma",32,"seq_to_array","lasso",0.766178266178266
"limma",32,"seq_to_array","elastic_net",0.846153846153846
"limma",32,"seq_to_array","ridge",0.57997557997558
"limma",33,"array_to_seq","lasso",0.815018315018315
"limma",33,"array_to_seq","elastic_net",0.840659340659341
"limma",33,"array_to_seq","ridge",0.847374847374847
"limma",33,"seq_to_array","lasso",0.872405372405372
"limma",33,"seq_to_array","elastic_net",0.893162393162393
"limma",33,"seq_to_array","ridge",0.626984126984127
"limma",34,"array_to_seq","lasso",0.765567765567766
"limma",34,"array_to_seq","elastic_net",0.803418803418803
"limma",34,"array_to_seq","ridge",0.866300366300366
"limma",34,"seq_to_array","lasso",0.883394383394383
"limma",34,"seq_to_array","elastic_net",0.891330891330891
"limma",34,"seq_to_array","ridge",0.532967032967033
"limma",35,"array_to_seq","lasso",0.759462759462759
"limma",35,"array_to_seq","elastic_net",0.774725274725275
"limma",35,"array_to_seq","ridge",0.813797313797314
"limma",35,"seq_to_array","lasso",0.860805860805861
"limma",35,"seq_to_array","elastic_net",0.868742368742369
"limma",35,"seq_to_array","ridge",0.485347985347985
"limma",36,"array_to_seq","lasso",0.755189255189255
"limma",36,"array_to_seq","elastic_net",0.743589743589744
"limma",36,"array_to_seq","ridge",0.846764346764347
"limma",36,"seq_to_array","lasso",0.891330891330891
"limma",36,"seq_to_array","elastic_net",0.888278388278388
"limma",36,"seq_to_array","ridge",0.531746031746032
"limma",37,"array_to_seq","lasso",0.847374847374847
"limma",37,"array_to_seq","elastic_net",0.822954822954823
"limma",37,"array_to_seq","ridge",0.857142857142857
"limma",37,"seq_to_array","lasso",0.896825396825397
"limma",37,"seq_to_array","elastic_net",0.903540903540904
"limma",37,"seq_to_array","ridge",0.631868131868132
"limma",38,"array_to_seq","lasso",0.757631257631258
"limma",38,"array_to_seq","elastic_net",0.780830280830281
"limma",38,"array_to_seq","ridge",0.85042735042735
"limma",38,"seq_to_array","lasso",0.821733821733822
"limma",38,"seq_to_array","elastic_net",0.822344322344322
"limma",38,"seq_to_array","ridge",0.49023199023199
"limma",39,"array_to_seq","lasso",0.793650793650794
"limma",39,"array_to_seq","elastic_net",0.790598290598291
"limma",39,"array_to_seq","ridge",0.899267399267399
"limma",39,"seq_to_array","lasso",0.785103785103785
"limma",39,"seq_to_array","elastic_net",0.839438339438339
"limma",39,"seq_to_array","ridge",0.523809523809524
"limma",40,"array_to_seq","lasso",0.793650793650794
"limma",40,"array_to_seq","elastic_net",0.826007326007326
"limma",40,"array_to_seq","ridge",0.833943833943834
"limma",40,"seq_to_array","lasso",0.835775335775336
"limma",40,"seq_to_array","elastic_net",0.854700854700855
"limma",40,"seq_to_array","ridge",0.648962148962149
"limma",41,"array_to_seq","lasso",0.747252747252747
"limma",41,"array_to_seq","elastic_net",0.778388278388278
"limma",41,"array_to_seq","ridge",0.82051282051282
"limma",41,"seq_to_array","lasso",0.815018315018315
"limma",41,"seq_to_array","elastic_net",0.835164835164835
"limma",41,"seq_to_array","ridge",0.62026862026862
"limma",42,"array_to_seq","lasso",0.868742368742369
"limma",42,"array_to_seq","elastic_net",0.861416361416361
"limma",42,"array_to_seq","ridge",0.856532356532356
"limma",42,"seq_to_array","lasso",0.882783882783883
"limma",42,"seq_to_array","elastic_net",0.871794871794872
"limma",42,"seq_to_array","ridge",0.514041514041514
"limma",43,"array_to_seq","lasso",0.846153846153846
"limma",43,"array_to_seq","elastic_net",0.814407814407814
"limma",43,"array_to_seq","ridge",0.848595848595849
"limma",43,"seq_to_array","lasso",0.837606837606838
"limma",43,"seq_to_array","elastic_net",0.856532356532356
"limma",43,"seq_to_array","ridge",0.497557997557998
"limma",44,"array_to_seq","lasso",0.800976800976801
"limma",44,"array_to_seq","elastic_net",0.82967032967033
"limma",44,"array_to_seq","ridge",0.886446886446886
"limma",44,"seq_to_array","lasso",0.88034188034188
"limma",44,"seq_to_array","elastic_net",0.843101343101343
"limma",44,"seq_to_array","ridge",0.516483516483516
"limma",45,"array_to_seq","lasso",0.868131868131868
"limma",45,"array_to_seq","elastic_net",0.77960927960928
"limma",45,"array_to_seq","ridge",0.824175824175824
"limma",45,"seq_to_array","lasso",0.814407814407814
"limma",45,"seq_to_array","elastic_net",0.843101343101343
"limma",45,"seq_to_array","ridge",0.659340659340659
"limma",46,"array_to_seq","lasso",0.742368742368742
"limma",46,"array_to_seq","elastic_net",0.701465201465201
"limma",46,"array_to_seq","ridge",0.783882783882784
"limma",46,"seq_to_array","lasso",0.83028083028083
"limma",46,"seq_to_array","elastic_net",0.865079365079365
"limma",46,"seq_to_array","ridge",0.554945054945055
"limma",47,"array_to_seq","lasso",0.791819291819292
"limma",47,"array_to_seq","elastic_net",0.771672771672772
"limma",47,"array_to_seq","ridge",0.838827838827839
"limma",47,"seq_to_array","lasso",0.793650793650794
"limma",47,"seq_to_array","elastic_net",0.847374847374847
"limma",47,"seq_to_array","ridge",0.483516483516484
"limma",48,"array_to_seq","lasso",0.742368742368742
"limma",48,"array_to_seq","elastic_net",0.756410256410256
"limma",48,"array_to_seq","ridge",0.816239316239316
"limma",48,"seq_to_array","lasso",0.595848595848596
"limma",48,"seq_to_array","elastic_net",0.641025641025641
"limma",48,"seq_to_array","ridge",0.563492063492063
"limma",49,"array_to_seq","lasso",0.741758241758242
"limma",49,"array_to_seq","elastic_net",0.794871794871795
"limma",49,"array_to_seq","ridge",0.852258852258852
"limma",49,"seq_to_array","lasso",0.806471306471306
"limma",49,"seq_to_array","elastic_net",0.83028083028083
"limma",49,"seq_to_array","ridge",0.494505494505495
"limma",50,"array_to_seq","lasso",0.844322344322344
"limma",50,"array_to_seq","elastic_net",0.838217338217338
"limma",50,"array_to_seq","ridge",0.813797313797314
"limma",50,"seq_to_array","lasso",0.823565323565324
"limma",50,"seq_to_array","elastic_net",0.83028083028083
"limma",50,"seq_to_array","ridge",0.48962148962149
