"ratio","n_up","n_down","seed","method","TPR_BH","FDR_BH","n_called","AUC","typeI_raw","power_raw"
"1:1",1000,1000,117,"ComBat",0.8045,0.116419549697968,1821,0.969169332627119,0.083545197740113,0.9005
"1:1",1000,1000,117,"ComBat_noQN",0.7845,0.0677361853832442,1683,0.974241560734463,0.058545197740113,0.9025
"1:1",1000,1000,117,"limma",0.872,0.144678764100049,2039,0.971759445621469,0.103036723163842,0.9375
"1:1",1000,1000,117,"limma_noQN",0.847,0.104177683765204,1891,0.972822457627119,0.0810028248587571,0.9315
"2:1",1333,667,117,"ComBat",0.8195,0.199316072300928,2047,0.96114572740113,0.115748587570621,0.9025
"2:1",1333,667,117,"ComBat_noQN",0.8095,0.0679332181922856,1737,0.972449187853107,0.0586158192090395,0.903
"2:1",1333,667,117,"limma",0.867,0.220674157303371,2225,0.961727595338983,0.132203389830508,0.925
"2:1",1333,667,117,"limma_noQN",0.8475,0.104122621564482,1892,0.969407450564972,0.0810028248587571,0.921
"3:1",1500,500,117,"ComBat",0.8235,0.260771992818671,2228,0.954201747881356,0.138418079096045,0.8985
"3:1",1500,500,117,"ComBat_noQN",0.816,0.0679611650485437,1751,0.971841560734463,0.0586158192090395,0.9
"3:1",1500,500,117,"limma",0.858,0.2780816154817,2377,0.953103584039548,0.157415254237288,0.9165
"3:1",1500,500,117,"limma_noQN",0.848,0.104067617538299,1893,0.967500971045198,0.0810028248587571,0.9145
"4:1",1600,400,117,"ComBat",0.8305,0.307339449541284,2398,0.950929713983051,0.153742937853107,0.9005
"4:1",1600,400,117,"ComBat_noQN",0.823,0.0674220963172805,1765,0.972550353107345,0.0586158192090395,0.907
"4:1",1600,400,117,"limma",0.8555,0.319411296738266,2514,0.948491031073446,0.174081920903955,0.916
"4:1",1600,400,117,"limma_noQN",0.8475,0.104122621564482,1892,0.967923622881356,0.0810028248587571,0.918
"9:1",1800,200,117,"ComBat",0.834,0.406405693950178,2810,0.94122907838983,0.186511299435028,0.903
"9:1",1800,200,117,"ComBat_noQN",0.8365,0.0669269380925823,1793,0.974147740112994,0.0586864406779661,0.9175
"9:1",1800,200,117,"limma",0.8495,0.419542193372053,2927,0.936322951977401,0.209675141242938,0.9065
"9:1",1800,200,117,"limma_noQN",0.848,0.104067617538299,1893,0.968391242937853,0.0810028248587571,0.921
"1:0",2000,0,117,"ComBat",0.85,0.500734214390602,3405,0.932252330508475,0.225847457627119,0.904
"1:0",2000,0,117,"ComBat_noQN",0.8605,0.0672086720867209,1845,0.976942690677966,0.0586864406779661,0.9265
"1:0",2000,0,117,"limma",0.8435,0.515369146796897,3481,0.922463153248588,0.250494350282486,0.8985
"1:0",2000,0,117,"limma_noQN",0.8565,0.103610675039246,1911,0.969807185734463,0.0810028248587571,0.922
