"grid","level","seed","method","Type_I_error","Power","secs"
"typeI_balance","balanced",123,"ComBat",0.0690594059405941,NA,24.3
"typeI_balance","balanced",123,"ComBat_noQN",0.0714108910891089,NA,21.6
"typeI_balance","balanced",123,"limma",0.0819925742574257,NA,21.1
"typeI_balance","balanced",123,"limma_noQN",0.0883663366336634,NA,20.6
"typeI_balance","same_imbalance",123,"ComBat",0.0138613861386139,NA,21.2
"typeI_balance","same_imbalance",123,"ComBat_noQN",0.0141089108910891,NA,21
"typeI_balance","same_imbalance",123,"limma",0.0212252475247525,NA,21.1
"typeI_balance","same_imbalance",123,"limma_noQN",0.0204207920792079,NA,19.8
"typeI_balance","opp_imbalance",123,"ComBat",0.0852722772277228,NA,21.8
"typeI_balance","opp_imbalance",123,"ComBat_noQN",0.109467821782178,NA,20.8
"typeI_balance","opp_imbalance",123,"limma",0.0472772277227723,NA,20.7
"typeI_balance","opp_imbalance",123,"limma_noQN",0.0811881188118812,NA,19.9
"typeI_balance","half_imbalance",123,"ComBat",0.0218440594059406,NA,21.6
"typeI_balance","half_imbalance",123,"ComBat_noQN",0.0221534653465347,NA,20.6
"typeI_balance","half_imbalance",123,"limma",0.0350247524752475,NA,21.1
"typeI_balance","half_imbalance",123,"limma_noQN",0.0347153465346535,NA,20.1
"power_size","5",123,"ComBat",0.0101694915254237,0.296,15.3
"power_size","5",123,"ComBat_noQN",0.00790960451977401,0.261,15.9
"power_size","5",123,"limma",0.013771186440678,0.314,14.1
"power_size","5",123,"limma_noQN",0.0120762711864407,0.2825,15.9
"power_size","10",123,"ComBat",0.0725282485875706,0.553,20.9
"power_size","10",123,"ComBat_noQN",0.0695621468926554,0.5065,21.1
"power_size","10",123,"limma",0.0867937853107345,0.5925,20.1
"power_size","10",123,"limma_noQN",0.0879943502824859,0.5575,20.6
"power_size","30",123,"ComBat",0.0295197740112994,0.817,37.4
"power_size","30",123,"ComBat_noQN",0.0227401129943503,0.8075,36
"power_size","30",123,"limma",0.0391242937853107,0.8855,36.6
"power_size","30",123,"limma_noQN",0.0336864406779661,0.871,36.3
"power_size","50",123,"ComBat",0.0331920903954802,0.8855,54.7
"power_size","50",123,"ComBat_noQN",0.0523305084745763,0.874,52.4
"power_size","50",123,"limma",0.0374293785310734,0.9355,53.5
"power_size","50",123,"limma_noQN",0.063771186440678,0.911,50.9
"power_balance","balanced",123,"ComBat",0.0323446327683616,0.8755,54.4
"power_balance","balanced",123,"ComBat_noQN",0.0524011299435028,0.8515,52.3
"power_balance","balanced",123,"limma",0.0370762711864407,0.928,53
"power_balance","balanced",123,"limma_noQN",0.063771186440678,0.889,51
"power_balance","same_imbalance",123,"ComBat",0.0145480225988701,0.8845,54.8
"power_balance","same_imbalance",123,"ComBat_noQN",0.0114406779661017,0.8805,51.3
"power_balance","same_imbalance",123,"limma",0.023728813559322,0.9405,53.2
"power_balance","same_imbalance",123,"limma_noQN",0.017725988700565,0.928,49.3
"power_balance","opp_imbalance",123,"ComBat",0.218008474576271,0.8565,55.4
"power_balance","opp_imbalance",123,"ComBat_noQN",0.212782485875706,0.8415,53.5
"power_balance","opp_imbalance",123,"limma",0.039406779661017,0.9245,53.2
"power_balance","opp_imbalance",123,"limma_noQN",0.0372881355932203,0.907,51.1
"power_balance","half_imbalance",123,"ComBat",0.0498587570621469,0.956,55.4
"power_balance","half_imbalance",123,"ComBat_noQN",0.0730932203389831,0.9495,53.4
"power_balance","half_imbalance",123,"limma",0.0171610169491525,0.952,54.1
"power_balance","half_imbalance",123,"limma_noQN",0.0112994350282486,0.945,50.4
"power_effect","0.3",123,"ComBat",0.0318502824858757,0.44,56.8
"power_effect","0.3",123,"ComBat_noQN",0.0522598870056497,0.4445,55.7
"power_effect","0.3",123,"limma",0.0355932203389831,0.4545,55.6
"power_effect","0.3",123,"limma_noQN",0.063771186440678,0.466,52.4
"power_effect","0.5",123,"ComBat",0.0321327683615819,0.6435,58.8
"power_effect","0.5",123,"ComBat_noQN",0.0524011299435028,0.6165,54.5
"power_effect","0.5",123,"limma",0.0353813559322034,0.698,53.9
"power_effect","0.5",123,"limma_noQN",0.063771186440678,0.6625,51.7
"power_effect","0.7",123,"ComBat",0.0312853107344633,0.775,55.1
"power_effect","0.7",123,"ComBat_noQN",0.0523305084745763,0.736,54.8
"power_effect","0.7",123,"limma",0.0355932203389831,0.835,54.2
"power_effect","0.7",123,"limma_noQN",0.063771186440678,0.7935,52.4
"power_effect","1",123,"ComBat",0.0331920903954802,0.8855,56
"power_effect","1",123,"ComBat_noQN",0.0523305084745763,0.874,51.7
"power_effect","1",123,"limma",0.0374293785310734,0.9355,51.1
"power_effect","1",123,"limma_noQN",0.063771186440678,0.911,48.7
