"dataset","method","sil_platform","sil_biological","ARI","KS_median","KS_mean","n_array","n_seq","secs"
"SEQC","No_correction",0.512260787138391,0.278917602810354,-0.0714285714285714,1,0.807129038827043,8,8,4.6
"SEQC","QN",0.356469658048646,0.308993566380306,-0.0714285714285714,0.625,0.712861458050502,8,8,3.5
"SEQC","Angel",0.354287854817092,0.309882061382854,-0.0714285714285714,0.625,0.71345540320391,8,8,3.5
"SEQC","TDM",0.515383269169757,0.283042241329361,-0.0714285714285714,1,0.80958118381754,8,8,6.5
"SEQC","MMR",-0.0120642455297609,0.423087501529166,1,0.375,0.422396823241922,8,8,3.5
"SEQC","ComBat",0.0611243300925825,0.41848703277515,1,0.375,0.430669630735813,8,8,7.1
"SEQC","ComBat_seq",0.0966409803285649,0.402406372785078,1,0.375,0.4224477328265,8,8,8.7
"SEQC","RNABC",-0.00861851876531078,0.393399960866039,1,0.375,0.396645058376324,8,8,4.1
"SEQC","limma",-0.0432952056007106,0.41726670070753,1,0.375,0.415591908770024,8,8,3.7
"SEQC","XPN",-0.0743883552449049,0.402220649671124,1,0.25,0.272128699429813,8,8,50.8
"SEQC","MNN",0.156623358483728,0.227457103487766,0.210526315789474,0.5,0.510920105891936,8,8,4.9
"SEQC","Shambhala2",0.236298497755933,0.241082148166815,0.210526315789474,0.5,0.520991718707575,8,8,120.6
"SEQC","Rank_in",0.714132261651685,-0.0242023456056181,-0.0714285714285714,1,0.938687890306815,8,8,60.1
"SEQC","COCONUT",0.0737018111891928,0.404898763672124,0.210526315789474,0.5,0.519362612001086,8,8,4
