"dataset","method","sil_platform","sil_biological","ARI","KS_median","KS_mean","n_array","n_seq","secs"
"TCGA-LUSC","No_correction",0.62779740612997,-0.0102598670602343,-0.0100556652899981,0.98,0.905172355809652,50,50,2.9
"TCGA-LUSC","QN",0.303024905797928,-0.00315219135436216,-0.007760604115428,0.62,0.602165797881285,50,50,2.3
"TCGA-LUSC","Angel",0.30588420759276,-0.00296788516734497,-0.007760604115428,0.62,0.602167479401379,50,50,1.6
"TCGA-LUSC","TDM",0.348862560124685,-0.00424911228587982,-0.007760604115428,0.68,0.649458550529679,50,50,5.6
"TCGA-LUSC","MMR",0.00596423432869693,0.00292603323274608,-0.00428494911622941,0.16,0.219275264839415,50,50,1.4
"TCGA-LUSC","ComBat",-0.0105916058314604,0.00475629625581997,-0.007760604115428,0.14,0.174000336304019,50,50,4.5
"TCGA-LUSC","ComBat_seq",0.0131940680746183,0.0030968915419675,-0.007760604115428,0.12,0.183078863292416,50,50,17.3
"TCGA-LUSC","RNABC",-0.0114346430904337,0.00469970031411184,-0.007760604115428,0.14,0.151474693122583,50,50,1.8
"TCGA-LUSC","limma",-0.00618463054191885,0.00367253608570117,-0.007760604115428,0.16,0.230055490163107,50,50,2.3
"TCGA-LUSC","XPN",-0.0114107918565821,0.00403019816042741,-0.007760604115428,0.14,0.154896586514209,50,50,48.5
"TCGA-LUSC","MNN",0.0577434340488262,0.0031147036034313,-0.007760604115428,0.24,0.250344711619304,50,50,2.4
"TCGA-LUSC","Shambhala2",0.231002760636455,-0.00627628971069851,-0.00428494911622941,0.44,0.445429628384059,50,50,795.7
"TCGA-LUSC","Rank_in",0.0143002364970708,0.00015897490194455,-0.00428494911622941,0.18,0.199630065579284,50,50,44.7
"TCGA-LUSC","COCONUT",-0.02,0.0180682357080544,-0.007760604115428,0,0,50,50,2.5
